Model_Terms	2_PtDup_coef	3_CpDup_coef	2_PtDup_sd	3_CpDup_sd	2_PtDup_z	3_CpDup_z	2_PtDup_p-val	3_CpDup_p-val
(Intercept)	-17.72929	3.60368	3.43962	3.07698	-5.15443	1.17117	0	0.24153
LnExonLength	1.61791	-0.85319	0.42215	0.44979	3.83255	-1.89687	0.00013	0.05785
LnGeneLength	0.57555	0.03068	0.17133	0.19551	3.35927	0.15692	0.00078	0.8753
FamilyGr	1.5008	-0.32881	0.48246	1.10102	3.11071	-0.29865	0.00187	0.76521
FamilyOr	0.76968	0.5978	0.49631	0.65901	1.5508	0.90712	0.12095	0.36434
FamilyP450	-0.24464	0.96622	0.45655	0.63714	-0.53585	1.5165	0.59206	0.12939
trimmedYes	-0.35193	1.21146	0.38371	0.48672	-0.9172	2.48902	0.35904	0.01281
FamilyGr:trimmedYes	0.15306	2.01755	0.74972	1.22737	0.20416	1.6438	0.83823	0.10022
FamilyOr:trimmedYes	1.10604	1.9068	0.83223	0.88105	1.329	2.16424	0.18385	0.03045
FamilyP450:trimmedYes	1.88418	0.49186	0.76822	0.88808	2.45266	0.55385	0.01418	0.57968
