SampleName	clone	coll.plant	DNA	RNA	assigned_STR_JP	assigned_STR_JF1	assigned_STR_JF2	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	assigned_RF	Final	Medicago_Ctrl	comment
Cytisus_14_T6	14	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.55	0	0.02	0.08	0.1	0.03	0.14	0.09	Cytisus	Cytisus		
Cytisus_16_T7	16	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_21_T8	21	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.7	0	0.03	0.05	0.08	0.01	0.07	0.06	Cytisus	Cytisus		
Cytisus_76_T10	76	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_77_T11	77	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_79_T12	79	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_80_T13	80	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_87_T14	87	Cytisus	yes		Lotus corniculatus		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		probable inversion in JCS samples
Cytisus_89_T15	89	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_90_T16	90	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_92_T17	92	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_115_T1	115	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_127_T2	127	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_128_T3	128	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cytisus		
Cytisus_131_T4	131	Cytisus	yes				Cytisus scoparius	0.45	0.01	0.12	0.07	0.05	0.13	0.09	0.08	Cytisus	Cytisus		
Cytisus_132_T5	132	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.69	0	0.05	0.08	0.05	0.05	0.03	0.04	Cytisus	Cytisus		
Cytisus_244_T9	244	Cytisus	yes		Cytisus scoparius		Cytisus scoparius	0.56	0	0.06	0.11	0.11	0.03	0.03	0.09	Cytisus	Cytisus		
L.corn._68_T39	68	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.93	0.01	0.02	0	0	0.02	L.corn.	L.corn.		
L.corn._70_T40	70	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.91	0.04	0.01	0.01	0	0.03	L.corn.	L.corn.		
L.corn._99_T41	99	Lotcorn	yes	yes	Cytisus scoparius		Lotus corniculatus	0.06	0	0.7	0.09	0.04	0.04	0.02	0.05	L.corn.	L.corn.		probable inversion in JCS samples
L.corn._100_T30	100	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.9	0.03	0.03	0.01	0	0.02	L.corn.	L.corn.		
L.corn._101_T31	101	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.01	0	0.86	0.09	0.01	0.01	0	0.02	L.corn.	L.corn.		
L.corn._102_T32	102	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.02	0.01	0.88	0	0.01	0.03	0.01	0.04	L.corn.	L.corn.		
L.corn._113_T33	113	Lotcorn	yes	yes	Medicago lupulina		Lotus corniculatus	0.02	0	0.92	0.01	0.02	0	0	0.02	L.corn.	NA		
L.corn._114_T34	114	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.05	0	0.62	0.05	0.1	0.03	0.03	0.13	L.corn.	L.corn.		
L.corn._239_T35	239	Lotcorn	yes		Medicago lupulina		Lotus pedunculatus/ corniculatus	0.03	0.04	0.01	0.05	0.31	0.05	0.27	0.24	Medicago	hybrid		
L.corn._243_T36	243	Lotcorn	yes		Medicago lupulina		Trifolium pratense	0.01	0	0.01	0.06	0.59	0	0.19	0.13	Medicago	hybrid		
L.corn._251_T37	251	Lotcorn	yes	yes	Lotus corniculatus		Lotus corniculatus	0.07	0.01	0.73	0.03	0.02	0.08	0.02	0.04	L.corn.	L.corn.		
L.corn._286_T38	286	Lotcorn	yes					0.03	0	0.57	0.12	0.12	0.02	0.02	0.13	L.corn.	L.corn.		
L.ped._11_T42	11	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	0.03	0	0.02	0.78	0.07	0.03	0.02	0.05	L.ped.	L.ped.		
L.ped._12_T43	12	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	0.08	0	0.01	0.6	0.17	0.01	0.04	0.08	L.ped.	L.ped.		
L.ped._64_T44	64	Lotped	yes		Lotus pedunculatus		Lotus pedunculatus	0.04	0	0.05	0.69	0.1	0.01	0.04	0.07	L.ped.	L.ped.		
L.ped._74_T45	74	Lotped	yes	yes	Medicago lupulina/Lotus pedunculatus		Lotus pedunculatus/Trifolium	0.02	0	0.04	0.67	0.03	0.02	0.13	0.08	L.ped.	NA		hybrid?
L.ped._81_T46	81	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	0.06	0	0.06	0.67	0.03	0.01	0.02	0.15	L.ped.	L.ped.		
NA	82	Lotped	yes		Lotus pedunculatus		Lotus pedunculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	L.ped.		
L.ped._83_T48	83	Lotped	yes		Lotus pedunculatus		Lotus pedunculatus	0.01	0	0.02	0.79	0.05	0.02	0.04	0.06	L.ped.	L.ped.		
NA	84	Lotped	yes	yes	Lotus pedunculatus		Lotus pedunculatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	L.ped.		
L.ped._N132_T50	N132	Lotped	yes	yes		Lotus pedunculatus	Lotus pedunculatus	0.05	0.06	0.09	0.56	0.08	0.02	0.04	0.09	L.ped.	L.ped.		
L.ped._N141_T51	N141	Lotped	yes	yes		Lotus pedunculatus	Lotus pedunculatus	0.04	0	0.02	0.73	0.11	0.03	0.04	0.03	L.ped.	L.ped.		
L.ped._N153_T52	N153	Lotped	yes			Lotus pedunculatus	Lotus pedunculatus	0.03	0	0.13	0.62	0.12	0.01	0.03	0.06	L.ped.	L.ped.		
L.ped._N163_T53	N163	Lotped	yes	yes		Lotus pedunculatus	Lotus pedunculatus	0.02	0	0.01	0.63	0.21	0.01	0.04	0.07	L.ped.	L.ped.		
L.ped._N184_T54	N184	Lotped	yes			Lotus pedunculatus	Pisum/Lotus pedunculatus	0.03	0	0.06	0.49	0.29	0.01	0.04	0.08	L.ped.	hybrid		
L.ped._N208_T55	N208	Lotped	yes			Lotus pedunculatus	Lotus pedunculatus	0.02	0	0.02	0.87	0.03	0.01	0.02	0.03	L.ped.	L.ped.		
L.ped._N224_T56	N224	Lotped	yes			Lotus pedunculatus	Lotus pedunculatus	0.02	0.01	0.03	0.8	0.04	0.01	0.02	0.07	L.ped.	L.ped.		
Lathyrus_167_T18	167	Lathyrus	yes	yes	Medicago sativa		Trifolium	0.02	0.03	0.03	0.02	0.39	0.12	0.09	0.32	Medicago	hybrid		
Lathyrus_171_T19	171	Lathyrus	yes	yes	Lathyrus pratensis		Lathyrus pratensis	0	0.99	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_174_T20	174	Lathyrus	yes	yes	Lathyrus pratensis		Lathyrus pratensis	0	0.97	0.01	0	0	0	0.01	0.01	Lathyrus	Lathyrus		
Lathyrus_273_T21	273	Lathyrus	yes					0	0.98	0.01	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_275_T22	275	Lathyrus	yes	yes				0	0.99	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_280_T23	280	Lathyrus	yes					0	1	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_281_T24	281	Lathyrus	yes					0	0.91	0.03	0	0.01	0.01	0.02	0.02	Lathyrus	Lathyrus		
Lathyrus_282_T25	282	Lathyrus	yes					0.05	0	0.04	0.01	0.27	0.03	0.13	0.45	Trifolium	hybrid		
Lathyrus_283_T26	283	Lathyrus	yes	yes				0	0.97	0.01	0	0	0	0.01	0.01	Lathyrus	Lathyrus		
Lathyrus_N152_T27	N152	Lathyrus	yes	yes		Lathyrus pratensis	Lathyrus pratensis	0	0.98	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_N191_T28	N191	Lathyrus	yes	yes		Lathyrus pratensis	Lathyrus pratensis	0	0.99	0	0	0	0	0	0	Lathyrus	Lathyrus		
Lathyrus_N312_T29	N312	Lathyrus	yes	yes			Lathyrus pratensis	0	0.97	0.01	0	0	0	0	0.01	Lathyrus	Lathyrus		
