dir	RunInd	Encode	length	fil1	fil2	ReadNber
100	111012_0263_C03GTACXX_2_SA-PE-007	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-007_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-007_2.sanfastq.gz	25902516
101	111012_0263_C03GTACXX_2_SA-PE-008	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-008_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-008_2.sanfastq.gz	28306754
102	111012_0263_C03GTACXX_2_SA-PE-009	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-009_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-009_2.sanfastq.gz	31057168
106	111214_0267_D067GACXX_1_SA-PE-014	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-014_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-014_2.sanfastq.gz	43676422
110	111214_0267_D067GACXX_1_SA-PE-015	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-015_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-015_2.sanfastq.gz	41251214
11	111012_0263_C03GTACXX_3_SA-PE-004	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-004_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-004_2.sanfastq.gz	35752146
111	111214_0267_D067GACXX_1_SA-PE-016	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-016_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-016_2.sanfastq.gz	27942396
112	111214_0267_D067GACXX_1_SA-PE-017	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-017_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-017_2.sanfastq.gz	24906594
113	111012_0263_C03GTACXX_2_SA-PE-010	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-010_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-010_2.sanfastq.gz	26105250
114	111012_0263_C03GTACXX_2_SA-PE-011	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-011_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-011_2.sanfastq.gz	29092010
115	110802_0249_D0CM0ABXX_1_SA-PE-010	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-010_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-010_2.solfastq.gz	23213858
12	111012_0263_C03GTACXX_3_SA-PE-005	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-005_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-005_2.sanfastq.gz	23822170
121	111020_0145_D070RACXX_4_SA-PE-012	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-012_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-012_2.sanfastq.gz	30063124
124	111020_0145_D070RACXX_5_SA-PE-001	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-001_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-001_2.sanfastq.gz	36291232
127	110802_0249_D0CM0ABXX_1_SA-PE-011	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-011_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-011_2.solfastq.gz	23043858
128	110802_0249_D0CM0ABXX_1_SA-PE-012	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-012_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-012_2.solfastq.gz	21379146
131	111012_0263_C03GTACXX_1_SA-PE-001	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-001_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-001_2.sanfastq.gz	33543464
132	111012_0263_C03GTACXX_1_SA-PE-002	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-002_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-002_2.sanfastq.gz	23390854
136	111214_0267_D067GACXX_1_SA-PE-018	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-018_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-018_2.sanfastq.gz	27399724
138	111020_0145_D070RACXX_2_SA-PE-009	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-009_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-009_2.sanfastq.gz	27248464
140	111020_0145_D070RACXX_2_SA-PE-010	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-010_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-010_2.sanfastq.gz	28552458
14	110418_0015_707VLAAXX_1_SA-PE-004	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-004_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-004_2.solfastq.gz	8118198
