"ID"	"Individual"	"run.date"	"run.nb"	"mach.run.nb"	"flow.cell"	"nb.reads.nodup"	"biais"	"sta.dev"	"2BeRm"
"Cytisus_14_T6"	14	110418	15	"707VLAAXX"	1	7845138	0.7536924711	0.3173100368	0
"Cytisus_21_T8"	21	110418	15	"707VLAAXX"	1	6479462	0.8247133579	0.3466012075	0
"Medicago_205_T61"	205	110418	15	"707VLAAXX"	1	5032872	1.2952541708	0.3724986006	0
"Medicago_206_T62"	206	110418	15	"707VLAAXX"	1	4812897	1.209419159	0.3655838975	0
"Medicago_210_T65"	210	110418	15	"707VLAAXX"	1	4161457	1.375277527	6.3380592405	1
"Medicago_211_T66"	211	110418	15	"707VLAAXX"	1	5458492	1.2341444796	0.3558847255	0
"Medicago_214_T68"	214	110418	15	"707VLAAXX"	1	5684871	1.3072396828	0.3668366542	0
"Medicago_29_T71"	29	110418	15	"707VLAAXX"	1	5454940	0.7804359509	0.297541238	0
"Medicago_36_T73"	36	110418	15	"707VLAAXX"	1	3988946	1.3118161768	0.3847683155	0
"Trifolium_N319_T118"	"N319"	110418	15	"707VLAAXX"	1	7008333	0.8011748985	0.3341376682	0
"Trifolium_N322_T119"	"N322"	110418	15	"707VLAAXX"	1	4598072	0.8482964716	3.7375494101	0
"Trifolium_N324_T120"	"N324"	110418	15	"707VLAAXX"	1	6346284	0.8289704311	3.3535291417	0
"Cytisus_115_T1"	115	110802	249	"D0CM0ABXX"	1	21753773	1.2059808822	0.4711081363	1
"Cytisus_127_T2"	127	110802	249	"D0CM0ABXX"	1	21657256	1.2227163574	0.4253858132	1
"Cytisus_128_T3"	128	110802	249	"D0CM0ABXX"	1	19908319	1.2534022293	0.4300487449	1
"Cytisus_16_T7"	16	110802	249	"D0CM0ABXX"	1	24311154	1.2036849229	0.4332482057	1
"Cytisus_76_T10"	76	110802	249	"D0CM0ABXX"	1	16309909	1.3083310319	0.5131151659	1
"Cytisus_77_T11"	77	110802	249	"D0CM0ABXX"	1	21287132	1.2613700853	0.4385938526	1
"Cytisus_79_T12"	79	110802	249	"D0CM0ABXX"	1	19433104	1.232993059	0.4491528194	1
"Cytisus_80_T13"	80	110802	249	"D0CM0ABXX"	1	18317047	1.2405923223	0.4804762964	1
"Cytisus_87_T14"	87	110802	249	"D0CM0ABXX"	1	22409231	1.2172989412	0.3884420671	1
"Cytisus_89_T15"	89	110802	249	"D0CM0ABXX"	1	14608497	1.2967470528	0.4802728524	1
"Cytisus_90_T16"	90	110802	249	"D0CM0ABXX"	1	19020414	1.2409950009	0.4542113145	1
"Cytisus_92_T17"	92	110802	249	"D0CM0ABXX"	1	21323397	1.2328538573	0.4529141418	1
"Cytisus_131_T4"	131	111012	263	"C03GTACXX"	1	27388097	1.2645791864	0.4487718796	0
"Cytisus_132_T5"	132	111012	263	"C03GTACXX"	1	19313293	1.2776956747	0.3880613794	0
"Cytisus_244_T9"	244	111012	263	"C03GTACXX"	1	21659092	1.2974180708	0.4063048263	0
"Lathyrus_167_T18"	167	111012	263	"C03GTACXX"	1	21020240	1.2659849492	5.664873103	0
"Lathyrus_171_T19"	171	111012	263	"C03GTACXX"	1	15202983	1.2159364657	0.52906917	0
"Lathyrus_174_T20"	174	111012	263	"C03GTACXX"	1	18589450	1.2442829316	0.5155550355	0
"Lathyrus_273_T21"	273	111012	263	"C03GTACXX"	1	25539209	1.4350449514	0.5991630679	0
"Lathyrus_275_T22"	275	111012	263	"C03GTACXX"	1	28724531	1.4258268158	0.585822299	0
"Lathyrus_280_T23"	280	111012	263	"C03GTACXX"	1	26719339	1.3833587643	0.5481242969	0
"Lathyrus_281_T24"	281	111012	263	"C03GTACXX"	1	24153393	1.4462827434	0.5541238001	0
"Lathyrus_282_T25"	282	111012	263	"C03GTACXX"	1	18658630	1.4314421773	0.3167048628	0
"Lathyrus_283_T26"	283	111012	263	"C03GTACXX"	1	27084781	1.4493273526	0.5720741415	0
"Lathyrus_N152_T27"	"N152"	111012	263	"C03GTACXX"	2	15263388	1.2763203208	0.5019648072	0
"Lathyrus_N191_T28"	"N191"	111012	263	"C03GTACXX"	2	27084961	1.2212732168	0.4969127448	0
"Lathyrus_N312_T29"	"N312"	111012	263	"C03GTACXX"	2	20844630	1.321558078	0.4911579036	0
"L.corn._100_T30"	100	111012	263	"C03GTACXX"	2	21915428	1.4990415974	0.4147474193	0
"L.corn._101_T31"	101	111012	263	"C03GTACXX"	2	23699740	1.4518057635	0.3946594653	0
"L.corn._102_T32"	102	111012	263	"C03GTACXX"	2	26195653	1.3964584392	0.4209828958	0
"L.corn._113_T33"	113	111012	263	"C03GTACXX"	2	22689319	1.4532516616	0.4449508535	0
"L.corn._114_T34"	114	111012	263	"C03GTACXX"	2	25259857	1.4172481608	0.4653552592	0
"L.corn._239_T35"	239	111012	263	"C03GTACXX"	2	26839478	1.4493281276	0.3549071676	0
"L.corn._68_T39"	68	111012	263	"C03GTACXX"	2	27538740	1.2663149463	0.3954061244	0
"L.corn._70_T40"	70	111012	263	"C03GTACXX"	2	16371106	1.2931494675	0.4596705545	0
"L.corn._99_T41"	99	111012	263	"C03GTACXX"	2	24088619	1.2754520199	0.4349118356	0
"L.corn._243_T36"	243	111012	263	"C03GTACXX"	3	27012912	1.3450361256	0.3177357253	0
"L.corn._251_T37"	251	111012	263	"C03GTACXX"	3	21524865	1.3905742394	0.3643417575	0
"L.corn._286_T38"	286	111012	263	"C03GTACXX"	3	21835834	1.4260333591	0.4302308248	0
"L.ped._11_T42"	11	111012	263	"C03GTACXX"	3	30724652	1.3023563334	0.366541929	0
"L.ped._12_T43"	12	111012	263	"C03GTACXX"	3	21338846	1.276976006	0.3211378462	0
"L.ped._64_T44"	64	111012	263	"C03GTACXX"	3	21943669	1.3343924424	0.4045461014	0
"L.ped._74_T45"	74	111012	263	"C03GTACXX"	3	22330153	1.3779443551	0.3446129157	0
"L.ped._81_T46"	81	111012	263	"C03GTACXX"	3	28759378	1.3174918329	0.328215469	0
"L.ped._82_T47"	82	111012	263	"C03GTACXX"	3	26175645	1.3601841809	0.413692903	1
"L.ped._83_T48"	83	111012	263	"C03GTACXX"	3	19712514	1.4287363456	0.353029658	0
"L.ped._84_T49"	84	111012	263	"C03GTACXX"	3	18212795	1.4062047298	0.4590149366	1
"L.ped._N132_T50"	"N132"	111012	263	"C03GTACXX"	3	17067354	1.4094267034	0.3322158106	0
"L.ped._N141_T51"	"N141"	111020	145	"D070RACXX"	2	18646797	0.7742731464	0.222363136	0
"L.ped._N153_T52"	"N153"	111020	145	"D070RACXX"	2	9102948	1.0675418143	0.2611660619	0
"L.ped._N163_T53"	"N163"	111020	145	"D070RACXX"	2	6121216	0.986988236	0.3105816365	0
"L.ped._N184_T54"	"N184"	111020	145	"D070RACXX"	2	8240073	0.9328083688	0.2569212171	0
"L.ped._N208_T55"	"N208"	111020	145	"D070RACXX"	2	9323696	0.9695976034	0.383451944	0
"L.ped._N224_T56"	"N224"	111020	145	"D070RACXX"	2	7978242	1.0046783045	0.3142200748	0
"Medicago_138_T57"	138	111020	145	"D070RACXX"	2	10106324	0.9389156761	0.207790704	0
"Medicago_140_T58"	140	111020	145	"D070RACXX"	2	10946312	1.0653951146	0.2005159981	0
"Medicago_141_T59"	141	111020	145	"D070RACXX"	2	14826361	0.9689236966	0.2149391068	0
"Medicago_204_T60"	204	111020	145	"D070RACXX"	2	12005356	0.913855851	0.1770274314	0
"Medicago_25_T70"	25	111020	145	"D070RACXX"	2	8836403	0.978142436	0.2139701423	0
"Medicago_32_T72"	32	111020	145	"D070RACXX"	2	10324290	1.0299911897	0.203775132	0
"Medicago_207_T63"	207	111020	145	"D070RACXX"	3	12623523	0.9087905807	0.1938207925	0
"Medicago_209_T64"	209	111020	145	"D070RACXX"	3	7862101	1.0769984835	0.232468396	0
"Medicago_212_T67"	212	111020	145	"D070RACXX"	3	6940961	1.0828492437	0.2585300346	0
"Medicago_221_T69"	221	111020	145	"D070RACXX"	3	8897667	1.0252171547	0.2472243199	0
"Medicago_N143_T74"	"N143"	111020	145	"D070RACXX"	3	8542360	0.9603165668	0.2080028621	0
"Medicago_N328_T75"	"N328"	111020	145	"D070RACXX"	3	7835113	1.0827732872	0.2337517568	0
"Medicago_N334_T76"	"N334"	111020	145	"D070RACXX"	3	10862007	1.0305041953	0.2303641388	0
"Medicago_N339_T77"	"N339"	111020	145	"D070RACXX"	3	12720583	0.9955027077	0.2249425875	0
"Medicago_N341_T78"	"N341"	111020	145	"D070RACXX"	3	14688467	0.974365146	0.240170897	0
"Ononis_252_T79"	252	111020	145	"D070RACXX"	3	14186995	1.0064748107	0.398626474	0
"Ononis_253_T80"	253	111020	145	"D070RACXX"	3	17786280	0.9882325154	0.4176470664	0
"Ononis_254_T81"	254	111020	145	"D070RACXX"	3	17187829	1.0492191256	0.4535740943	0
"Ononis_256_T82"	256	111020	145	"D070RACXX"	4	12109551	1.0256504458	0.4405250034	0
"Ononis_257_T83"	257	111020	145	"D070RACXX"	4	12996574	1.0617275353	0.4122237027	0
"Ononis_276_T84"	276	111020	145	"D070RACXX"	4	12314243	1.0484668248	2.1867742563	0
"Ononis_277_T85"	277	111020	145	"D070RACXX"	4	13687771	0.973198195	2.217833762	0
"Ononis_284_T86"	284	111020	145	"D070RACXX"	4	14615863	1.0570446364	0.3999934901	0
"Ononis_285_T87"	285	111020	145	"D070RACXX"	4	14336369	1.0307124032	8.3707410157	0
"Ononis_N101_T88"	"N101"	111020	145	"D070RACXX"	4	8346134	1.0067698549	0.4208678249	0
"Ononis_N123_T89"	"N123"	111020	145	"D070RACXX"	4	9625938	0.9732378028	0.4253361197	0
"Ononis_N133_T90"	"N133"	111020	145	"D070RACXX"	4	10566311	0.9878169457	0.4772495602	0
"Pisum_121_T91"	121	111020	145	"D070RACXX"	4	9008649	1.063833836	2.5585311065	0
"Pisum_5_T100"	5	111020	145	"D070RACXX"	4	6037143	1.0989024495	2.4954720462	0
"Pisum_9_T101"	9	111020	145	"D070RACXX"	4	10680169	1.0404781517	4.8935019644	0
"Pisum_124_T92"	124	111020	145	"D070RACXX"	5	26584645	1.2040154249	5.1597119976	0
"Pisum_192_T93"	192	111020	145	"D070RACXX"	5	27468849	1.2180786959	0.3024183761	0
"Pisum_193_T94"	193	111020	145	"D070RACXX"	5	22266976	1.2629096436	0.2543717218	0
"Pisum_245_T95"	245	111020	145	"D070RACXX"	5	26127138	1.2192287588	2.6020253912	0
"Pisum_246_T96"	246	111020	145	"D070RACXX"	5	23159334	1.1259040178	2.4930908863	0
"Pisum_247_T97"	247	111020	145	"D070RACXX"	5	21926988	1.1586094095	5.195455694	0
"Pisum_248_T98"	248	111020	145	"D070RACXX"	5	7676202	1.1943626429	0.3700768959	0
"Pisum_249_T99"	249	111020	145	"D070RACXX"	5	11518695	1.0421506096	2.4180882122	0
"Pisum_N181_T102"	"N181"	111020	145	"D070RACXX"	5	10202621	1.1280295614	0.3744486984	0
"Pisum_N256_T103"	"N256"	111020	145	"D070RACXX"	5	26722862	1.0858413169	4.1112755539	0
"Pisum_N316_T104"	"N316"	111020	145	"D070RACXX"	5	8849641	1.1647462446	2.3733699846	0
"Pisum_N342_T105"	"N342"	111020	145	"D070RACXX"	5	9220339	1.1817270467	4.7164661173	0
"Trifolium_106_T106"	106	111214	267	"D067GACXX"	1	33598772	1.4722513176	0.4212188633	0
"Trifolium_110_T107"	110	111214	267	"D067GACXX"	1	32071156	1.439304256	0.3764611183	0
"Trifolium_111_T108"	111	111214	267	"D067GACXX"	1	24105613	1.5940429962	0.3917018972	0
"Trifolium_112_T109"	112	111214	267	"D067GACXX"	1	21464302	1.5819141686	0.4172579577	0
"Trifolium_136_T110"	136	111214	267	"D067GACXX"	1	23775023	1.6017315282	0.4086980612	0
"Trifolium_198_T111"	198	111214	267	"D067GACXX"	1	30548019	1.559592903	3.6222034827	0
"Trifolium_47_T112"	47	111214	267	"D067GACXX"	1	27758405	1.402548201	3.0060006344	0
"Trifolium_48_T113"	48	111214	267	"D067GACXX"	1	26666184	1.4433964525	3.2405465523	0
"Trifolium_57_T114"	57	111214	267	"D067GACXX"	1	24852039	1.4461619019	0.3730527726	0
"Trifolium_63_T115"	63	111214	267	"D067GACXX"	1	40687233	1.4679660668	0.4328742903	0
"Trifolium_N102_T116"	"N102"	111214	267	"D067GACXX"	1	18093424	1.6089759243	0.4325499327	0
"Trifolium_N185_T117"	"N185"	111214	267	"D067GACXX"	1	22319544	1.5771827306	3.2977138883	0
