Target_Name	Medicago_36_T73	Medicago_210_T65	Trifolium_N322_T119	Medicago_206_T62	Medicago_205_T61	Medicago_29_T71	Medicago_211_T66	Medicago_214_T68	Pisum_5_T100	L.ped._N163_T53	Trifolium_N324_T120	Cytisus_21_T8	Medicago_212_T67	Trifolium_N319_T118	Pisum_248_T98	Medicago_N328_T75	Cytisus_14_T6	Medicago_209_T64	L.ped._N224_T56	L.ped._N184_T54	Ononis_N101_T88	Medicago_N143_T74	Medicago_25_T70	Pisum_N316_T104	Medicago_221_T69	Pisum_121_T91	L.ped._N153_T52	Pisum_N342_T105	L.ped._N208_T55	Ononis_N123_T89	Medicago_138_T57	Pisum_N181_T102	Medicago_32_T72	Ononis_N133_T90	Pisum_9_T101	Medicago_N334_T76	Medicago_140_T58	Pisum_249_T99	Medicago_204_T60	Ononis_256_T82	Ononis_276_T84	Medicago_207_T63	Medicago_N339_T77	Ononis_257_T83	Ononis_277_T85	Ononis_252_T79	Ononis_285_T87	Cytisus_89_T15	Ononis_284_T86	Medicago_N341_T78	Medicago_141_T59	Lathyrus_171_T19	Lathyrus_N152_T27	Cytisus_76_T10	L.corn._70_T40	L.ped._N132_T50	Ononis_254_T81	Ononis_253_T80	Trifolium_N102_T116	L.ped._84_T49	Cytisus_80_T13	Lathyrus_174_T20	L.ped._N141_T51	Lathyrus_282_T25	Cytisus_90_T16	Cytisus_132_T5	Cytisus_79_T12	L.ped._83_T48	Cytisus_128_T3	Lathyrus_N312_T29	Lathyrus_167_T18	Cytisus_77_T11	Cytisus_92_T17	L.ped._12_T43	Trifolium_112_T109	L.corn._251_T37	Cytisus_127_T2	Cytisus_244_T9	Cytisus_115_T1	L.corn._286_T38	L.corn._100_T30	Pisum_247_T97	L.ped._64_T44	Pisum_193_T94	Trifolium_N185_T117	L.ped._74_T45	Cytisus_87_T14	L.corn._113_T33	Pisum_246_T96	L.corn._101_T31	Trifolium_136_T110	L.corn._99_T41	Trifolium_111_T108	Lathyrus_281_T24	Cytisus_16_T7	Trifolium_57_T114	L.corn._114_T34	Lathyrus_273_T21	Pisum_245_T95	L.ped._82_T47	L.corn._102_T32	Pisum_124_T92	Trifolium_48_T113	Lathyrus_280_T23	Pisum_N256_T103	L.corn._239_T35	L.corn._243_T36	Lathyrus_283_T26	Lathyrus_N191_T28	Cytisus_131_T4	Pisum_192_T93	L.corn._68_T39	Trifolium_47_T112	Lathyrus_275_T22	L.ped._81_T46	Trifolium_198_T111	L.ped._11_T42	Trifolium_110_T107	Trifolium_106_T106	Trifolium_63_T115
Gr_g1.1	176.567273	184.563636	134.745455	190.698182	235.818182	125.872727	245.316364	252.596364	234.203636	224.727273	193.207273	174.8	270.552727	194.414545	303.185455	319.098182	193.48	288.116364	285.138182	265.967273	311.469091	328.643636	273.872727	346.48	327.145455	362.447273	324.301818	412.058182	285.981818	309.305455	304.541818	398.534545	367.483636	372.945455	412.774545	367.64	405.629091	410.585455	368.701818	481.752727	466.72	401.185455	406	500.861818	510.32	490.661818	541.465455	754.818182	558.010909	470.621818	516.287273	699.541818	696.68	824.541818	815.676364	948.912727	646.6	550.84	1098.123636	922.792727	865.574545	863.323636	459.505455	1057.68	887.014545	910.781818	874.6	1042.501818	954.050909	976.036364	993.625455	1013.930909	1030.298182	988.687273	1304.621818	1103.490909	1073.421818	1039.207273	1036.396364	1111.396364	1214.032727	911.963636	1131.741818	959.189091	1351.250909	1132.130909	1095.032727	1157.956364	958.44	1281.098182	1511.032727	1147.130909	1436.64	1337.836364	1109.650909	1393.149091	1294.243636	1393.978182	1121.756364	1289.225455	1346.978182	1134.32	1413.927273	1461.876364	950.989091	1454.843636	1299.749091	1516.890909	1213.225455	1237.4	1190.705455	1262.163636	1378.429091	1567.832727	1369.425455	1877.847273	1563.109091	1723.207273	1896.087273	2177.545455
Gr_g1.2	172.127551	148.27551	116.367347	186.806122	193.816327	131.826531	198.403061	221.846939	228.117347	200.77551	159.571429	169.219388	240.826531	170.321429	301.357143	272.989796	170.209184	271.576531	261.862245	230.459184	256.193878	275.346939	292.255102	355.867347	291.821429	281.010204	294.112245	316.239796	287.795918	278.234694	320.959184	353.137755	340.010204	324.464286	393.423469	381.653061	342.204082	345.72449	332.193878	364.015306	377.071429	350.653061	323.673469	378.755102	404.066327	365.326531	385.188776	704.270408	409.923469	427.933673	452.908163	532.494898	581.903061	757.183673	628.770408	772.5	478.52551	476.392857	922.821429	989.673469	798.908163	719.479592	455.102041	964.183673	789.617347	780.341837	820.882653	888.112245	830.005102	860.790816	811.637755	1012.397959	912.581633	971.540816	882.132653	909.05102	1062.882653	961.852041	863.428571	1040.77551	1109.755102	793.510204	1028.071429	862.02551	1007.443878	1045.428571	1023.25	1045.178571	796.244898	984.744898	1052.841837	971.602041	1106.311224	1129.02551	974.147959	1059.081633	1205.163265	1190.433673	894.765306	1139.678571	1143.693878	985.719388	1166.255102	1122.755102	872.846939	1248.44898	1184.602041	1220.903061	991.790816	1124.989796	978.22449	1022.418367	1123.576531	1228.234694	1358.867347	1537.071429	1353.137755	1343.765306	1440.265306	1687.535714
Gr_g1.3	146.274194	141.747312	121.010753	176.903226	221.435484	125.505376	205.709677	223.72043	237.537634	202.204301	149.602151	164.817204	271.666667	158.758065	238.424731	275.5	190.27957	285.215054	261.747312	262.672043	275.5	292.145161	277.354839	357.978495	352.741935	343.741935	328.247312	388.61828	307.655914	357.655914	299.016129	364.430108	350.27957	384.655914	354.430108	378.198925	394.327957	391.784946	329.102151	400.080645	497.607527	397.763441	423.543011	480.037634	470.774194	494.403226	514.252688	641.956989	562.360215	498.478495	492.182796	650.795699	578.258065	779.908602	695.419355	792.61828	658.725806	579.274194	1022.677419	749.284946	899.177419	773.021505	430.301075	948.139785	935.284946	860.172043	839.473118	893.032258	923.849462	887.758065	865.666667	1030.236559	927.639785	810.521505	1206.215054	981.77957	996.521505	958.989247	996.645161	1023.849462	1128.043011	870.677419	958.887097	919.38172	1232.069892	988.758065	909.731183	1076.209677	979.333333	1110.5	1341.236559	941.166667	1248.370968	1114.155914	1011.360215	1172.860215	1148.607527	1243.650538	1132.634409	998.510753	1206.919355	1093.575269	1232.478495	1259.182796	1013.026882	1211.83871	1087.505376	1311.989247	1142.806452	1093.510753	1194.844086	1143.822581	1349.145161	1372.978495	1218.596774	1689.505376	1335.155914	1580.860215	1568.344086	2026.752688
Gr_g1.4	200.06135	243.871166	152.601227	227.613497	250.95092	151.717791	236.398773	282.055215	299.607362	279.128834	210.435583	206.791411	309.656442	194.184049	414.184049	362.822086	212.546012	438.865031	326.177914	318.251534	347.785276	342	349.092025	377.478528	368.190184	423.006135	388.435583	442.699387	363.668712	379.693252	415.398773	441.852761	463.877301	451.251534	480.570552	465.141104	490.018405	519.662577	482.220859	501.423313	517.030675	486.453988	483.613497	576.699387	555.711656	581.558282	561.595092	785.834356	615.582822	617.067485	604.852761	712.895706	703.141104	848.490798	790.300613	965.141104	741.263804	606.558282	1230.736196	1131.582822	854.134969	921.110429	554.294479	1069.171779	890.91411	908.981595	935.993865	1157	994.435583	1099.760736	1055.613497	1085.288344	1100.680982	1002.159509	1589.650307	1131.496933	1094.687117	1151.116564	1012.06135	1187.846626	1338.055215	1017.766871	1139.889571	1223.02454	1514.466258	1265.153374	1102.110429	1289.840491	1089.509202	1298.546012	1677.417178	1149.104294	1746.239264	1350.257669	1173.226994	1606.607362	1357.466258	1503.907975	1300.883436	1513.263804	1433.325153	1361.128834	1666.04908	1507.460123	1174.766871	1573.674847	1449.699387	1528.93865	1265.08589	1288.730061	1353.190184	1264.447853	1708.539877	1583.030675	1515.110429	2106.245399	1625.398773	2013.693252	2101.779141	2502.325153
Gr_g1.5	112.433121	175.802548	98.738854	114.165605	134.923567	99.923567	149.694268	150.815287	145.171975	162.955414	129.216561	145.356688	164.605096	133.764331	267.433121	173.853503	153.312102	181.789809	229.242038	166.923567	200.426752	210.738854	235.579618	265.898089	223.261146	238.88535	250.923567	243.789809	198.388535	188.22293	247.089172	294.687898	246.713376	227.178344	227.719745	266.878981	300.305732	292.146497	293.961783	283.273885	266.700637	264.471338	294.522293	289.089172	294.89172	300.019108	322.535032	372.636943	331.726115	298.044586	368.127389	246.515924	298.076433	426.101911	506.33121	612.229299	398.426752	372.929936	724.656051	747.019108	430.229299	302.203822	332.382166	650.987261	429.33121	589.280255	457.88535	727.178344	500.095541	404.828025	637.101911	520.974522	525.267516	626.656051	742.828025	663.458599	508.019108	769.10828	551.55414	676.955414	815.101911	628.458599	639.656051	724.503185	832.535032	770.057325	537.675159	748.254777	585.770701	756.11465	885.063694	664.611465	799.611465	530.732484	635.643312	889.987261	815.541401	595.089172	742.382166	978.050955	857.44586	830.968153	961.057325	594.840764	640.719745	938.815287	930.719745	600.191083	442.407643	849.318471	805.11465	764.859873	1005.152866	628.592357	986.687898	1239.910828	946.745223	978.898089	1074.254777	1471.783439
Gr_g1.6	202.03871	198.774194	140.129032	224.851613	234.948387	146.122581	218.458065	256.032258	272.322581	219.877419	183.812903	182.541935	317.103226	208.516129	368.122581	356.096774	194.541935	375.090323	328.393548	282.296774	343.451613	323.845161	363.464516	393.167742	334.096774	449.541935	384.503226	450.83871	341.522581	382.6	362.851613	462.709677	384.56129	437.806452	433.735484	463.387097	491.76129	448.109677	427.387097	504.96129	508.63871	460.529032	472.922581	582.677419	565.025806	550.425806	550.670968	815.167742	619.658065	575.470968	557.445161	703.683871	716.903226	893.432258	818.580645	946.606452	748.23871	631.96129	1192.658065	951.664516	892.174194	873.767742	551.619355	1127.212903	944.129032	1017.683871	963.509677	1157.670968	1094.141935	1021.290323	1045.683871	1092.935484	1148.76129	1100.6	1525.567742	1216.574194	1142.948387	1083.187097	1093.883871	1152.883871	1371.451613	982.909677	1183.16129	1121.348387	1414.645161	1251.064516	1085.154839	1252.941935	966.258065	1279.651613	1642.316129	1144.070968	1707.625806	1393.167742	1257.851613	1522.548387	1404.612903	1488.780645	1351.432258	1420.212903	1448.070968	1220.503226	1553.767742	1486.109677	1111.129032	1550.948387	1465.341935	1622.419355	1312.329032	1277.980645	1276.348387	1282.83871	1664.058065	1615.425806	1488.606452	2041.206452	1582.529032	1901.290323	1960.625806	2436.974194
Gr_g1.7	59.563025	71.151261	54.445378	86.722689	107.957983	43.89916	120.134454	107.243697	83.134454	71.983193	71.697479	56.621849	98.563025	70.159664	82.252101	93.764706	78.042017	100.588235	119.815126	93.168067	79.848739	83.243697	90.789916	128.403361	128.193277	112.512605	123.731092	140.369748	99.142857	127.285714	110.310924	163.235294	161.109244	129.957983	125.336134	136.310924	161.613445	163.731092	119.084034	138.344538	143.890756	117.302521	175.058824	166.07563	156.378151	188.521008	177.478992	207.445378	172.537815	183.386555	184.857143	232.663866	221.882353	258.537815	268.117647	308.294118	254.226891	202.823529	275.420168	334.554622	273.084034	275.193277	167.016807	335.840336	310.226891	346.731092	298.638655	359.966387	288.042017	344.184874	311.168067	353.184874	306.789916	317.361345	346.983193	372.504202	339.504202	369.218487	254.596639	374.12605	337.453782	321.798319	363.084034	331.420168	329.655462	325.563025	305.210084	371.487395	291.252101	378.630252	407.184874	361.840336	369.563025	461.361345	344.680672	332.731092	382.008403	412.588235	392.689076	379.554622	379.563025	394.848739	377.436975	511.915966	358.798319	462.084034	458.109244	487.756303	397.957983	446.521008	427.537815	362.512605	418.008403	504.596639	484.285714	509.327731	499.411765	436.815126	427.932773	590.941176
Gr_g1.8	90.098039	102.843137	74.362745	128.264706	155.372549	70.656863	146.441176	169.617647	104.656863	106.392157	123.235294	99.235294	134.352941	111.784314	143.598039	113.098039	117.186275	125.264706	180.568627	143.392157	113.823529	119.401961	131.343137	192.352941	153.676471	146.735294	183.431373	199.921569	167.539216	181.029412	143.441176	202.519608	178.480392	174.284314	184.558824	222.990196	190.54902	228.72549	186.911765	205.45098	239.745098	195.764706	211.460784	221.607843	231.784314	269.22549	253.411765	343.470588	270.558824	247.509804	245.754902	303.745098	251.166667	424.294118	348.009804	435.04902	294.254902	245.323529	371.803922	368.431373	450.647059	374.156863	258.392157	447.45098	469.647059	466.54902	441.735294	486.294118	437.892157	409.470588	365.392157	557.029412	387.04902	401.45098	467.588235	418.77451	499.764706	489.529412	467.029412	447.921569	403.22549	366.764706	533.490196	413.352941	497.588235	489.921569	511.098039	447.931373	442.754902	489.588235	601.480392	491.5	491.784314	482.362745	517.637255	568.127451	444.215686	526.411765	483.558824	490.5	462.362745	659.333333	630.107843	566.637255	531.45098	601.745098	612.882353	582.686275	493.813725	601.921569	493.45098	524.892157	686.754902	630.137255	620.45098	770.27451	685.137255	662.931373	552.352941	999.196078
Gr_g1.9	154.277778	178.855556	121.777778	188.833333	207.211111	108.577778	224.2	237.711111	187.4	167.722222	180.788889	153.077778	233.488889	175.811111	281.322222	244.544444	214.522222	249.211111	258.222222	207.977778	218.144444	241.122222	250.144444	306.733333	271.844444	259.911111	264.066667	359.355556	261.555556	257.166667	269.322222	342.244444	264.5	290.944444	314.755556	392.922222	323.888889	377.144444	312.911111	348.077778	356.022222	302.144444	385	381.222222	407.455556	436.722222	406.311111	601.777778	425.888889	448.433333	406.344444	546.522222	542.488889	634.2	637.633333	703.455556	529.888889	473.433333	722.511111	757.8	781.033333	618.488889	468.555556	809.333333	708.411111	724.088889	711.577778	910.8	843.533333	725.833333	708.444444	856.122222	811.333333	717.911111	889.711111	861.588889	928.333333	838.211111	800.722222	884.122222	946.088889	681.666667	1007.222222	713.677778	965.844444	996.988889	869.144444	898.766667	739.633333	870.733333	1116.611111	811.477778	1018.8	1014.033333	933.966667	976.766667	890.055556	968.066667	922.733333	978.577778	916.866667	977.066667	1010.555556	1026.488889	898.711111	1186.2	1135.2	1066.1	987.388889	1008.9	896.877778	883.7	1097.511111	1167.022222	1077.066667	1451.066667	1266	1076.666667	1056.166667	1418.255556
Gr_g2.1	38.928058	49.172662	28.496403	39.207434	44.754197	22.717026	49.828537	55.051559	32.254197	0.363309	37.136691	31.404077	33.745803	38.266187	57.291367	45.095923	25.868106	47.182254	4.854916	36.166667	42.983213	50.810552	26.23741	60.503597	48.080336	47.713429	0.726619	60.063549	5.110312	46.661871	59.960432	64.142686	70.280576	49.591127	56.823741	69.489209	60.05036	69.989209	75.8753	60.346523	56.672662	59.125899	69.899281	63.083933	72.318945	81.27458	65.44964	46.418465	67.729017	84.747002	96.201439	95.342926	115.490408	46.683453	56.486811	77.790168	106.71223	99.491607	218.077938	99.332134	47.118705	133.041966	59.803357	180.339329	49.418465	131.053957	61.880096	10.899281	57.647482	168.017986	171.386091	60.443645	79.039568	22.143885	251.310552	95.910072	60.628297	146.152278	65.960432	100.796163	163.272182	155.615108	81.113909	207.691847	244.045564	89.491607	67.164269	180.055156	157.328537	160.694245	256.826139	152.507194	281.207434	234.841727	67.739808	273.264988	180.654676	236.730216	178.655875	147.146283	172.679856	177.579137	302.236211	230.744604	191.089928	273.461631	220.667866	246.699041	206.978417	146.083933	197.58753	165.109113	296.832134	272.008393	110.070743	308.73741	95.419664	372.384892	385.972422	496.064748
