	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	
Cytisus_131_T4	0.41	0.01	0.15	0.11	0.06	0.12	0.09	0.06	Cytisus
Cytisus_132_T5	0.65	0	0.06	0.11	0.08	0.03	0.02	0.04	Cytisus
Cytisus_14_T6	0.58	0	0.01	0.11	0.07	0.04	0.13	0.06	Cytisus
Cytisus_21_T8	0.7	0	0.03	0.06	0.06	0.01	0.09	0.05	Cytisus
Cytisus_244_T9	0.59	0	0.07	0.11	0.1	0.02	0.01	0.09	Cytisus
Lathyrus_171_T19	0	0.98	0	0.01	0	0	0.01	0	Lathyrus
Lathyrus_174_T20	0	0.98	0	0	0	0	0.01	0	Lathyrus
Lathyrus_273_T21	0	0.99	0.01	0	0	0	0	0	Lathyrus
Lathyrus_275_T22	0	0.99	0	0	0	0	0	0	Lathyrus
Lathyrus_280_T23	0	1	0	0	0	0	0	0	Lathyrus
Lathyrus_281_T24	0.01	0.88	0.02	0.01	0.02	0.01	0.02	0.03	Lathyrus
Lathyrus_283_T26	0	0.95	0.01	0.01	0.01	0	0.01	0.01	Lathyrus
Lathyrus_N152_T27	0	0.98	0	0	0	0	0.01	0.01	Lathyrus
Lathyrus_N191_T28	0	0.97	0	0	0.01	0	0	0.01	Lathyrus
Lathyrus_N312_T29	0	0.97	0.01	0	0	0	0	0.01	Lathyrus
L.corn._100_T30	0.01	0	0.89	0.04	0.03	0.01	0	0.03	L.corn.
L.corn._101_T31	0.01	0	0.85	0.13	0	0	0	0.01	L.corn.
L.corn._102_T32	0.02	0	0.9	0	0.01	0.02	0	0.04	L.corn.
L.corn._113_T33	0.04	0.01	0.9	0.01	0.02	0	0	0.02	L.corn.
L.corn._114_T34	0.06	0.01	0.66	0.04	0.1	0.03	0.01	0.09	L.corn.
L.corn._251_T37	0.03	0	0.8	0.03	0.02	0.06	0.01	0.05	L.corn.
L.corn._286_T38	0.02	0	0.52	0.08	0.16	0.04	0.03	0.15	L.corn.
L.corn._68_T39	0	0	0.92	0.01	0.03	0.01	0	0.02	L.corn.
L.corn._70_T40	0.01	0	0.95	0	0.01	0	0.01	0.02	L.corn.
L.corn._99_T41	0.06	0	0.69	0.08	0.06	0.06	0.02	0.03	L.corn.
L.ped._11_T42	0.04	0	0.02	0.7	0.1	0.04	0.04	0.05	L.ped.
L.ped._12_T43	0.1	0	0.01	0.5	0.22	0.01	0.07	0.09	L.ped.
L.ped._64_T44	0.05	0	0	0.7	0.1	0.01	0.07	0.07	L.ped.
L.ped._74_T45	0.02	0	0.04	0.78	0.02	0.01	0.09	0.04	L.ped.
L.ped._81_T46	0.03	0	0.04	0.7	0.05	0.01	0.04	0.13	L.ped.
L.ped._83_T48	0.02	0	0.02	0.71	0.07	0.02	0.08	0.08	L.ped.
L.ped._N132_T50	0.02	0.07	0.13	0.56	0.06	0.01	0.04	0.1	L.ped.
L.ped._N141_T51	0.02	0.01	0.02	0.77	0.09	0.03	0.04	0.02	L.ped.
L.ped._N153_T52	0.04	0	0.14	0.58	0.14	0.02	0.03	0.05	L.ped.
L.ped._N163_T53	0.04	0	0.01	0.54	0.27	0.01	0.06	0.05	L.ped.
L.ped._N208_T55	0.01	0	0.02	0.9	0.02	0.01	0.02	0.02	L.ped.
L.ped._N224_T56	0.02	0	0.02	0.74	0.07	0.01	0.04	0.1	L.ped.
Medicago_140_T58	0.02	0	0.03	0.02	0.52	0.01	0.15	0.26	Medicago
Medicago_141_T59	0	0	0.02	0.03	0.72	0.01	0.12	0.1	Medicago
Medicago_205_T61	0	0	0	0.03	0.86	0	0.01	0.08	Medicago
Medicago_206_T62	0	0	0	0.02	0.9	0.01	0.01	0.05	Medicago
Medicago_207_T63	0.03	0	0	0.06	0.82	0	0.02	0.07	Medicago
Medicago_209_T64	0.01	0	0.03	0.04	0.86	0	0.02	0.03	Medicago
Medicago_211_T66	0	0	0.07	0	0.77	0.01	0.01	0.13	Medicago
Medicago_212_T67	0.01	0	0.04	0.03	0.76	0.01	0.07	0.07	Medicago
Medicago_214_T68	0.02	0.01	0.02	0.14	0.66	0.01	0.02	0.13	Medicago
Medicago_25_T70	0.03	0	0.02	0.16	0.59	0.03	0.08	0.09	Medicago
Medicago_29_T71	0.03	0	0.04	0.12	0.68	0.01	0.04	0.09	Medicago
