""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_2"	"0.0108"	"0.0025"	"0.01"	"0.0076"	"0.0136"	"0.0733"	"0.0144"	"0.0236"	"0.0187"	"1.1882"
"PMT_317_1_1"	"0.0024"	"9e-04"	"0.0099"	"0.0191"	"0.0311"	"0.0078"	"0.0824"	"5e-04"	"0.0196"	"1.0878"
"PMT_313_1_1"	"-0.0019"	"0.0012"	"0.0128"	"0.022"	"0.0333"	"0.0077"	"0.0601"	"-0.0029"	"0.018"	"0.8815"
"PMT_316_1_1"	"0.0013"	"0.001"	"0.0133"	"0.0214"	"0.0342"	"0.0074"	"0.0543"	"-0.0037"	"0.0178"	"0.861"
"PMT_611_1_1"	"0.0256"	"7e-04"	"0.0241"	"0.0059"	"0.039"	"0.0175"	"0.0208"	"0.0047"	"0.0184"	"0.8248"
"PMT_615_1_1"	"0.0245"	"8e-04"	"0.0255"	"0.0074"	"0.0408"	"0.0167"	"0.0213"	"0.003"	"0.0187"	"0.8203"
"PMT_609_1_1"	"0.0253"	"7e-04"	"0.0235"	"0.0073"	"0.0398"	"0.019"	"0.0219"	"0.005"	"0.0188"	"0.8121"
"PMT_614_1_1"	"0.027"	"5e-04"	"0.0262"	"0.0072"	"0.0372"	"0.0186"	"0.0212"	"0.0031"	"0.0182"	"0.7955"
"PMT_607_1_1"	"0.0253"	"8e-04"	"0.0247"	"0.008"	"0.037"	"0.0181"	"0.0197"	"0.0031"	"0.0178"	"0.7807"
"Or_g6_5_1"	"0.0055"	"3e-04"	"0.0052"	"0.0044"	"0.0059"	"0.0723"	"0.0062"	"0.0042"	"0.0113"	"0.7802"
"Or_g6_2_3"	"0.0041"	"-3e-04"	"0.0057"	"0.0039"	"0.0065"	"0.0714"	"0.0053"	"0.0048"	"0.0113"	"0.7746"
"PMT_605_1_1"	"0.0266"	"9e-04"	"0.0247"	"0.0073"	"0.0378"	"0.0182"	"0.0201"	"0.0037"	"0.0181"	"0.7744"
"PMT_612_1_1"	"0.0206"	"4e-04"	"0.0239"	"0.0069"	"0.0364"	"0.0169"	"0.0183"	"0.0062"	"0.0175"	"0.7523"
