""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_2"	"0.0144"	"0.0047"	"0.0178"	"0.0154"	"0.0232"	"0.125"	"0.0249"	"0.039"	"0.0318"	"2.0306"
"PMT_611_1_1"	"0.0557"	"0.0034"	"0.0562"	"0.0161"	"0.0927"	"0.0397"	"0.0414"	"0.0107"	"0.0427"	"1.9044"
"PMT_317_1_1"	"0.0042"	"0.0064"	"0.0261"	"0.0356"	"0.0554"	"0.0158"	"0.1352"	"8e-04"	"0.0357"	"1.8593"
"PMT_609_1_1"	"0.0523"	"0.0049"	"0.0489"	"0.0149"	"0.0917"	"0.0318"	"0.0445"	"0.0101"	"0.0409"	"1.8448"
"PMT_313_1_1"	"0.0013"	"0.005"	"0.0281"	"0.0389"	"0.0586"	"0.0164"	"0.1027"	"-0.0039"	"0.0333"	"1.6184"
"PMT_316_1_1"	"-0.0018"	"0.0045"	"0.0277"	"0.0381"	"0.06"	"0.0145"	"0.094"	"-0.0016"	"0.0323"	"1.5045"
"Control_g56_7_2"	"-0.0025"	"0.0024"	"0.0707"	"0.0107"	"0.0333"	"0.0356"	"0.0182"	"0.0223"	"0.0256"	"1.2988"
"P450_g39_1_5"	"0.018"	"0.0025"	"0.0107"	"0.0079"	"0.0081"	"0.0028"	"0.0842"	"-0.004"	"0.0124"	"1.2018"
"Gr_g34_3_2"	"0.0135"	"0.0179"	"0.0591"	"0.0127"	"0.0172"	"0.0101"	"0.0142"	"0.0107"	"0.0186"	"1.139"
"PMT_308_1_1"	"0.0064"	"0.0014"	"0.0026"	"0.0239"	"0.0085"	"0.0448"	"0.0087"	"0.0059"	"0.0125"	"1.1115"
"PMT_306_1_1"	"0.0065"	"0.0012"	"0.003"	"0.0265"	"0.0092"	"0.0433"	"0.008"	"0.0057"	"0.0129"	"1.0753"
"PMT_309_1_1"	"0.005"	"0.0017"	"0.0033"	"0.0226"	"0.0086"	"0.0434"	"0.0072"	"0.0049"	"0.0119"	"1.0634"
"PMT_307_1_1"	"0.0062"	"0.002"	"0.002"	"0.0228"	"0.0091"	"0.0444"	"0.0084"	"0.0055"	"0.0125"	"1.0439"
"Or_g53_1_12"	"-0.0027"	"0.0052"	"0.0163"	"0.0198"	"0.0054"	"0.0148"	"0.0657"	"0.0089"	"0.0148"	"1.0316"
"Or_g52_3_1"	"0.0059"	"0.0014"	"0.059"	"-0.002"	"0.0083"	"0.0034"	"0.0075"	"0.0045"	"0.01"	"0.9008"
"P450_g13_7_2"	"0.014"	"0.0013"	"0.0138"	"0.0137"	"0.0254"	"0.0221"	"0.0126"	"0.0049"	"0.0146"	"0.8197"
"PMT_590_1_1"	"0.0069"	"0.0012"	"0.0624"	"0.0076"	"0.0062"	"0.0057"	"0.0124"	"6e-04"	"0.011"	"0.7943"
"Control_g12_2_4"	"-0.0014"	"0.0095"	"-0.0031"	"0.0175"	"0.0161"	"0.0476"	"0.0116"	"7e-04"	"0.0129"	"0.781"
"Control_g208_1_1"	"0.0026"	"0.002"	"0.0056"	"0.0044"	"0.0054"	"0.0493"	"0.0044"	"0.0031"	"0.0088"	"0.7563"
"Or_g55_1_1"	"0.0034"	"0.0011"	"0.0564"	"-1e-04"	"0.008"	"0.0036"	"0.0061"	"-0.0011"	"0.0087"	"0.7544"
"Or_g41_1_5"	"0.0238"	"0.0012"	"0.0419"	"0.005"	"0.0085"	"0.0031"	"0.0061"	"0.0057"	"0.0104"	"0.7443"
"P450_g15_7_2"	"0.0065"	"0.0014"	"0.0026"	"0.032"	"0.0058"	"0.0025"	"0.0094"	"0.0026"	"0.0083"	"0.7191"
"PMT_393_1_1"	"-0.002"	"0.0012"	"-3e-04"	"0.0293"	"0.0091"	"0.0105"	"0.017"	"0.0102"	"0.0107"	"0.6979"
"P450_g22_4_4"	"0.0283"	"9e-04"	"0.0306"	"7e-04"	"0.0084"	"0.0032"	"0.0047"	"-9e-04"	"0.0074"	"0.6801"
"Gr_g60_1_8"	"0.0039"	"0.0484"	"0.0043"	"0.0029"	"0.0051"	"0.0031"	"0.0045"	"0.0028"	"0.0083"	"0.6518"
"ApisSNMP_g9_1_16"	"-9e-04"	"0.001"	"-8e-04"	"0.0073"	"-0.0019"	"0.0171"	"0.0152"	"0.0097"	"0.0053"	"0.6397"
"PMT_596_1_1"	"0.0084"	"6e-04"	"0.0319"	"0.0022"	"0.0096"	"0.0048"	"0.0112"	"-3e-04"	"0.0077"	"0.637"
"PMT_289_1_1"	"0.0019"	"0.0511"	"0.0056"	"0.002"	"0.0048"	"0.005"	"0.0041"	"0.0034"	"0.0085"	"0.6245"
"PMT_591_1_1"	"0.0074"	"8e-04"	"0.0491"	"0.0021"	"0.006"	"0.0041"	"0.0094"	"0.0013"	"0.0085"	"0.6138"
"P450_g14_1_1"	"0.0043"	"4e-04"	"0.0059"	"0.0123"	"0.0169"	"0.0032"	"0.0145"	"0.0042"	"0.009"	"0.6006"
"Or_g74_1_13"	"0.0027"	"0.0478"	"0.0039"	"0.0033"	"0.0035"	"0.0037"	"0.005"	"0.003"	"0.0079"	"0.5641"
"PMT_304_1_1"	"0.0027"	"3e-04"	"-0.0023"	"0.0236"	"0.0057"	"0.0039"	"0.0054"	"0.0034"	"0.0063"	"0.5578"
