""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_2"	"0.0095"	"0.001"	"0.0082"	"0.0092"	"0.013"	"0.0718"	"0.0145"	"0.0228"	"0.018"	"1.1708"
"PMT_317_1_1"	"0.0034"	"0.0013"	"0.0111"	"0.0177"	"0.0304"	"0.0068"	"0.0803"	"5e-04"	"0.0189"	"1.0235"
"PMT_313_1_1"	"-9e-04"	"0.0019"	"0.0125"	"0.0212"	"0.0342"	"0.0067"	"0.0584"	"-0.0017"	"0.0182"	"0.8753"
"PMT_613_1_1"	"0.0288"	"0.0011"	"0.0279"	"0.0074"	"0.0391"	"0.0208"	"0.0228"	"0.005"	"0.0196"	"0.8322"
"PMT_611_1_1"	"0.0295"	"0.001"	"0.0256"	"0.0078"	"0.0411"	"0.0194"	"0.021"	"0.0048"	"0.0196"	"0.8215"
"PMT_614_1_1"	"0.0241"	"7e-04"	"0.0252"	"0.0079"	"0.0401"	"0.0193"	"0.0201"	"0.0046"	"0.019"	"0.8207"
"PMT_605_1_1"	"0.0222"	"8e-04"	"0.0243"	"0.0071"	"0.0387"	"0.0165"	"0.0198"	"0.0055"	"0.0183"	"0.7754"
"PMT_615_1_1"	"0.026"	"9e-04"	"0.0242"	"0.0071"	"0.0389"	"0.0158"	"0.0205"	"0.0047"	"0.0183"	"0.7706"
"PMT_612_1_1"	"0.024"	"7e-04"	"0.0257"	"0.0072"	"0.0376"	"0.019"	"0.0197"	"0.0048"	"0.0184"	"0.7676"
"PMT_609_1_1"	"0.0255"	"8e-04"	"0.0255"	"0.0068"	"0.0365"	"0.0167"	"0.0179"	"0.003"	"0.0173"	"0.7575"
"PMT_316_1_1"	"-0.0011"	"0.0012"	"0.012"	"0.02"	"0.0312"	"0.0073"	"0.047"	"-4e-04"	"0.0163"	"0.7553"
"Or_g6_5_2"	"0.0061"	"-2e-04"	"0.0058"	"0.004"	"0.005"	"0.0675"	"0.0053"	"0.0043"	"0.0106"	"0.7369"
"Or_g6_2_3"	"0.0051"	"0"	"0.0055"	"0.0048"	"0.005"	"0.0679"	"0.0058"	"0.0037"	"0.0105"	"0.7364"
"PMT_607_1_1"	"0.0235"	"7e-04"	"0.0232"	"0.0062"	"0.0351"	"0.0152"	"0.0182"	"0.0037"	"0.0165"	"0.7226"
"Control_g56_7_1"	"-0.0031"	"8e-04"	"0.0363"	"0.0069"	"0.0164"	"0.0183"	"0.0068"	"0.0115"	"0.0128"	"0.7094"
"P450_g39_1_5"	"0.0083"	"0.001"	"0.0055"	"0.0048"	"0.0054"	"0.0019"	"0.0493"	"-0.0015"	"0.0075"	"0.7044"
"PMT_308_1_1"	"0.0041"	"5e-04"	"0.0019"	"0.0134"	"0.0052"	"0.0268"	"0.0058"	"0.003"	"0.0074"	"0.6792"
"PMT_307_1_1"	"0.0037"	"5e-04"	"0.0017"	"0.0133"	"0.005"	"0.0265"	"0.0049"	"0.0032"	"0.0072"	"0.6626"
"PMT_306_1_1"	"0.003"	"5e-04"	"0.0014"	"0.0134"	"0.0049"	"0.0265"	"0.0058"	"0.003"	"0.0073"	"0.6417"
"PMT_309_1_1"	"0.0034"	"6e-04"	"0.0015"	"0.0119"	"0.0048"	"0.0232"	"0.0041"	"0.0029"	"0.0065"	"0.5927"
"Gr_g34_3_3"	"0.0061"	"0.0047"	"0.0307"	"0.0052"	"0.0085"	"0.005"	"0.0071"	"0.006"	"0.0089"	"0.5925"
"Or_g66_3_3"	"0.0035"	"3e-04"	"2e-04"	"0.0242"	"0.0037"	"0.0115"	"0.0155"	"0.0074"	"0.0083"	"0.5799"
"Or_g53_1_10"	"-0.0032"	"0.0019"	"0.0072"	"0.01"	"0.0036"	"0.0067"	"0.0355"	"0.0046"	"0.0076"	"0.56"
"Or_g68_4_1"	"0.0084"	"1e-04"	"0.0069"	"0.0025"	"0.0328"	"0.0043"	"0.0136"	"0.0063"	"0.0121"	"0.5326"
"Control_g208_4_2"	"0.0027"	"0.0016"	"0.003"	"0.002"	"0.0037"	"0.0259"	"0.0029"	"0.0013"	"0.0049"	"0.4884"
"Or_g52_4_2"	"0.0035"	"4e-04"	"0.0334"	"-5e-04"	"0.0041"	"0.0029"	"0.0032"	"0.003"	"0.0056"	"0.4751"
"Or_g52_3_1"	"0.0035"	"5e-04"	"0.032"	"-0.0012"	"0.004"	"0.0029"	"0.0037"	"0.0021"	"0.0052"	"0.4558"
"Or_g52_5_2"	"0.0024"	"6e-04"	"0.0308"	"-0.001"	"0.0032"	"0.0019"	"0.0037"	"0.0021"	"0.0048"	"0.4547"
"Control_g208_1_1"	"0.0026"	"5e-04"	"0.0027"	"0.0023"	"0.0024"	"0.0277"	"0.0028"	"0.0015"	"0.0047"	"0.4334"
"Or_g63_1_8"	"0.0108"	"0.0015"	"0.0314"	"0.002"	"0.0011"	"-1e-04"	"0.0059"	"0.005"	"0.0056"	"0.4318"
"P450_g13_7_2"	"0.0079"	"5e-04"	"0.0069"	"0.0071"	"0.012"	"0.012"	"0.0058"	"0.0029"	"0.0073"	"0.4289"
"PMT_393_1_1"	"-8e-04"	"2e-04"	"-2e-04"	"0.0181"	"0.0058"	"0.0053"	"0.0085"	"0.0066"	"0.0064"	"0.416"
"Control_g12_2_19"	"1e-04"	"0.0028"	"-0.0011"	"0.0119"	"0.0076"	"0.0255"	"0.0059"	"0.0019"	"0.007"	"0.4145"
"Or_g62_4_2"	"0.0082"	"2e-04"	"0.027"	"0.0031"	"0.0038"	"0.0037"	"0.0094"	"0.002"	"0.0059"	"0.4125"
"P450_g15_7_2"	"0.0025"	"1e-04"	"0.0019"	"0.0194"	"0.0031"	"0.0014"	"0.0045"	"0.0017"	"0.0048"	"0.4063"
"Or_g62_6_1"	"0.0064"	"7e-04"	"0.0277"	"0.003"	"0.0049"	"0.0022"	"0.0086"	"0.0032"	"0.0062"	"0.397"
"Or_g55_1_4"	"0.0037"	"2e-04"	"0.0274"	"-1e-04"	"0.0031"	"0.0016"	"0.0034"	"-0.0012"	"0.004"	"0.3921"
"P450_g13_5_1"	"0.0045"	"1e-04"	"0.0047"	"0.0103"	"0.0073"	"0.0114"	"0.0028"	"9e-04"	"0.0054"	"0.3741"
"Or_g41_4_1"	"0.0132"	"3e-04"	"0.0198"	"0.0027"	"0.0033"	"0.0014"	"0.0036"	"0.0028"	"0.0049"	"0.3665"
"P450_g15_6_1"	"0.0035"	"1e-04"	"0.0011"	"0.0165"	"0.0028"	"0.0018"	"0.0045"	"0.0019"	"0.0043"	"0.3606"
"Or_g41_3_1"	"0.0138"	"2e-04"	"0.0209"	"0.0015"	"0.0032"	"0.0017"	"0.0035"	"0.0033"	"0.0048"	"0.3556"
"Control_g12_1_1"	"-4e-04"	"0.0018"	"-0.001"	"0.0091"	"0.0055"	"0.0223"	"0.0047"	"0.0015"	"0.0056"	"0.3526"
"P450_g15_11_1"	"0.0036"	"2e-04"	"0.0016"	"0.017"	"0.0027"	"0.0015"	"0.0054"	"0.0014"	"0.0043"	"0.3494"
"Or_g41_1_9"	"0.0094"	"1e-04"	"0.0189"	"0.0024"	"0.0031"	"0.002"	"0.0025"	"0.0027"	"0.0046"	"0.3378"
"Or_g63_6_1"	"0.0099"	"3e-04"	"0.024"	"0.0014"	"9e-04"	"6e-04"	"0.0051"	"0.0027"	"0.0042"	"0.3376"
"Or_g63_5_2"	"0.0093"	"4e-04"	"0.0192"	"0.0012"	"8e-04"	"-2e-04"	"0.0063"	"0.0027"	"0.0037"	"0.3367"
"PMT_304_1_1"	"0.002"	"1e-04"	"-7e-04"	"0.0152"	"0.003"	"0.0015"	"0.0034"	"0.0017"	"0.0037"	"0.3284"
"P450_g13_6_1"	"0.0052"	"1e-04"	"0.0011"	"0.0053"	"0.009"	"0.0101"	"0.0068"	"0.0025"	"0.0054"	"0.3269"
"Or_g63_4_2"	"0.008"	"3e-04"	"0.0211"	"0.0016"	"7e-04"	"-1e-04"	"0.0057"	"0.003"	"0.0039"	"0.3264"
"P450_g13_4_3"	"0.0023"	"1e-04"	"0.0028"	"5e-04"	"0.0041"	"0.0261"	"0.0031"	"7e-04"	"0.0044"	"0.3168"
"Or_g62_5_2"	"0.0046"	"2e-04"	"0.0197"	"0.0035"	"0.0048"	"0.001"	"0.0094"	"8e-04"	"0.005"	"0.3161"
