	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	MeanDecreaseAccuracy	MeanDecreaseGini
PMT_317_1_1	-0.0015	0.0099	0.0483	0.0865	0.1121	0.0383	0.1896	0.0076	0.0671	3.5343
Or_g6_3_2	0.0206	0.0068	0.0255	0.0292	0.0429	0.2022	0.0369	0.0757	0.0549	3.4389
PMT_605_1_1	0.0813	0.0062	0.087	0.0351	0.1651	0.0726	0.0663	0.0225	0.0753	3.4389
Control_g56_7_1	-0.0113	0.0069	0.0982	0.0349	0.0591	0.0663	0.0293	0.0353	0.0444	2.3369
PMT_308_1_1	0.0101	0.0029	0.0044	0.0531	0.0192	0.0784	0.0157	0.0105	0.025	2.2714
P450_g39_1_5	0.0303	0.0037	0.019	0.0172	0.016	0.0059	0.1465	-0.0053	0.0229	2.139
Or_g53_1_10	-0.0083	0.0066	0.0306	0.0457	0.0133	0.0371	0.1	0.0121	0.0275	1.8739
Gr_g34_3_3	0.0155	0.0319	0.0966	0.02	0.0244	0.0173	0.0195	0.019	0.0292	1.7939
Control_g12_2_19	0.0026	0.0173	-0.0038	0.0527	0.0285	0.0981	0.0265	-0.0021	0.0276	1.7891
P450_g13_7_2	0.0247	0.0024	0.024	0.0459	0.0526	0.0455	0.0249	0.0081	0.0315	1.7705
PMT_393_1_1	-6e-04	0.0024	-0.0028	0.0801	0.0242	0.0214	0.0329	0.0265	0.0267	1.6578
Control_g208_4_2	0.0097	0.0074	0.0104	0.01	0.0129	0.0797	0.0079	0.0068	0.0169	1.6534
PMT_590_1_1	0.0136	0.0015	0.1082	0.0178	0.0105	0.0122	0.0179	0.0047	0.0203	1.544
Or_g52_4_2	0.0076	0.0019	0.0943	-0.0031	0.0136	0.0084	0.0115	0.0065	0.0161	1.5243
PMT_21_1_1	0.0505	7e-04	0.0093	0.0308	0.0021	0.0067	0.0167	0.0226	0.0143	1.4503
P450_g22_4_4	0.0728	0.0011	0.0494	0.0011	0.0138	0.0058	0.0031	-6e-04	0.0128	1.2995
Or_g41_4_1	0.045	0.0013	0.0642	0.01	0.0135	0.0068	0.0082	0.0072	0.0164	1.2839
ApisSNMP_g9_1_16	-0.0015	0.001	-0.0016	0.0232	-0.0025	0.0419	0.0291	0.0146	0.0119	1.2684
PMT_403_1_1	0.0181	-1e-04	0.0075	0.0018	0.0222	1e-04	0.0211	0.021	0.0128	1.2039
Or_g21_4_1	0.0057	0.0018	0.0092	0.002	0.0011	0.0447	0.0499	4e-04	0.0108	1.0116
Gr_g60_1_4	0.0061	0.0678	0.0045	0.0069	0.0076	0.0053	0.0059	0.0054	0.0123	0.9971
PMT_260_1_1	0.0857	1e-04	0.009	0.0031	0.0038	0.0013	0.0024	0.0022	0.0071	0.9717
