""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_2"	"0.0153"	"0.0039"	"0.0167"	"0.0146"	"0.024"	"0.1128"	"0.0246"	"0.0413"	"0.031"	"1.9399"
"PMT_605_1_1"	"0.0506"	"0.0045"	"0.0585"	"0.0151"	"0.0946"	"0.0373"	"0.042"	"0.011"	"0.0432"	"1.9226"
"PMT_317_1_1"	"0.0047"	"0.0062"	"0.0283"	"0.0349"	"0.0537"	"0.0175"	"0.1395"	"8e-04"	"0.0359"	"1.8991"
"PMT_613_1_1"	"0.0473"	"0.0038"	"0.053"	"0.0146"	"0.0928"	"0.0353"	"0.0385"	"0.0129"	"0.0417"	"1.8326"
"PMT_313_1_1"	"2e-04"	"0.0067"	"0.0287"	"0.0374"	"0.0578"	"0.0159"	"0.1023"	"-0.0027"	"0.0332"	"1.6155"
"PMT_316_1_1"	"-0.0014"	"0.0068"	"0.0313"	"0.0383"	"0.0617"	"0.017"	"0.0888"	"-0.0012"	"0.0335"	"1.5471"
"Control_g56_7_1"	"-0.0038"	"0.0038"	"0.071"	"0.0105"	"0.031"	"0.0348"	"0.0162"	"0.0209"	"0.0247"	"1.2319"
"P450_g39_1_5"	"0.0183"	"0.0022"	"0.0086"	"0.0078"	"0.0085"	"0.0018"	"0.0838"	"-0.0041"	"0.0122"	"1.1648"
"PMT_308_1_1"	"0.0054"	"0.002"	"0.0022"	"0.0256"	"0.0094"	"0.0492"	"0.0093"	"0.0054"	"0.0133"	"1.1369"
"Gr_g34_3_3"	"0.0106"	"0.0162"	"0.0532"	"0.0109"	"0.0167"	"0.0095"	"0.0145"	"0.0125"	"0.0175"	"1.1041"
"PMT_306_1_1"	"0.0061"	"0.0022"	"0.0027"	"0.0243"	"0.0081"	"0.0475"	"0.01"	"0.0059"	"0.013"	"1.1037"
"PMT_309_1_1"	"0.0062"	"0.0022"	"0.0029"	"0.0228"	"0.0086"	"0.0467"	"0.0081"	"0.0056"	"0.0125"	"1.0883"
"Or_g53_1_10"	"-0.0067"	"0.0059"	"0.0147"	"0.0192"	"0.0085"	"0.0158"	"0.0663"	"0.008"	"0.0154"	"1.0732"
"PMT_307_1_1"	"0.0052"	"0.0015"	"0.0041"	"0.0237"	"0.0077"	"0.0453"	"0.0082"	"0.0057"	"0.0123"	"1.0574"
"Or_g52_4_2"	"0.0061"	"0.002"	"0.0682"	"-0.0024"	"0.0096"	"0.0047"	"0.0086"	"0.0045"	"0.0113"	"1"
"P450_g13_7_2"	"0.012"	"0.0016"	"0.0118"	"0.0142"	"0.0252"	"0.0235"	"0.0126"	"0.0057"	"0.0147"	"0.8377"
"Control_g208_4_2"	"0.0046"	"0.004"	"0.0067"	"0.0023"	"0.0058"	"0.0416"	"0.0041"	"0.0039"	"0.0082"	"0.8078"
"PMT_590_1_1"	"0.0088"	"0.0018"	"0.0661"	"0.0087"	"0.0049"	"0.007"	"0.0113"	"0.0015"	"0.0114"	"0.7944"
"Control_g12_2_19"	"0.0014"	"0.0095"	"-0.0024"	"0.0165"	"0.0147"	"0.0477"	"0.0107"	"0.002"	"0.0128"	"0.7769"
"Or_g41_4_1"	"0.0222"	"0.0015"	"0.0404"	"0.005"	"0.0078"	"0.0022"	"0.005"	"0.0047"	"0.0095"	"0.7441"
"PMT_393_1_1"	"-1e-04"	"5e-04"	"-6e-04"	"0.0287"	"0.0088"	"0.0114"	"0.0178"	"0.0104"	"0.0108"	"0.6966"
"Or_g55_1_4"	"0.0048"	"0.0015"	"0.049"	"-3e-04"	"0.0063"	"0.0039"	"0.0052"	"-3e-04"	"0.0076"	"0.6954"
"P450_g15_7_2"	"0.0069"	"0.001"	"0.0032"	"0.0308"	"0.0052"	"0.0031"	"0.0081"	"0.003"	"0.0081"	"0.6936"
"P450_g22_4_4"	"0.031"	"5e-04"	"0.0313"	"0.0013"	"0.0078"	"0.002"	"0.0034"	"-0.0013"	"0.0071"	"0.6723"
"ApisSNMP_g9_1_16"	"-0.0012"	"2e-04"	"-0.0011"	"0.0078"	"-3e-04"	"0.0137"	"0.017"	"0.0092"	"0.0054"	"0.6534"
"PMT_596_1_1"	"0.0072"	"7e-04"	"0.0331"	"0.0019"	"0.0104"	"0.004"	"0.0113"	"0.0012"	"0.0082"	"0.6246"
"P450_g14_8_1"	"0.0057"	"7e-04"	"0.006"	"0.0116"	"0.0175"	"0.0044"	"0.0124"	"0.0031"	"0.009"	"0.6173"
"Gr_g60_1_4"	"0.0032"	"0.0467"	"0.0036"	"0.0039"	"0.0038"	"0.0028"	"0.0042"	"0.0038"	"0.0079"	"0.615"
"PMT_591_1_1"	"0.0052"	"0.001"	"0.0494"	"0.0028"	"0.0039"	"0.0048"	"0.008"	"-6e-04"	"0.0076"	"0.6074"
"Control_g86_7_3"	"0.0035"	"0.0553"	"0.0042"	"0.0042"	"0.004"	"0.0037"	"0.0044"	"0.0037"	"0.0091"	"0.6005"
"PMT_359_1_1"	"0.0041"	"0.0542"	"0.0049"	"0.0038"	"0.0048"	"0.0039"	"0.0042"	"0.0033"	"0.0091"	"0.5908"
"PMT_289_1_1"	"0.0042"	"0.0476"	"0.0043"	"0.0015"	"0.0045"	"0.0043"	"0.0049"	"0.0028"	"0.008"	"0.5871"
"PMT_358_1_1"	"0.0027"	"0.0538"	"0.0045"	"0.004"	"0.004"	"0.0046"	"0.0042"	"0.0032"	"0.0087"	"0.5848"
"Or_g74_1_14"	"0.0029"	"0.0489"	"0.0033"	"0.0036"	"0.0045"	"0.0035"	"0.0052"	"0.0028"	"0.0083"	"0.5766"
"Gr_g42_5_1"	"0.0038"	"0.0485"	"0.0043"	"0.0023"	"0.0046"	"0.0038"	"0.0051"	"0.003"	"0.0082"	"0.5504"
"Or_g51_1_13"	"0.0032"	"7e-04"	"-0.003"	"0.0245"	"0.0062"	"0.0015"	"0.0058"	"0.0033"	"0.0062"	"0.5398"
"PMT_593_1_1"	"0.0052"	"6e-04"	"0.041"	"-1e-04"	"0.0047"	"0.0035"	"0.0087"	"1e-04"	"0.0068"	"0.5382"
"PMT_649_1_2"	"0.0037"	"0.0499"	"0.0035"	"0.0028"	"0.0044"	"0.0036"	"0.0039"	"0.0026"	"0.0081"	"0.5365"
"Gr_g36_4_1"	"0.0032"	"0.0464"	"0.004"	"0.0031"	"0.0041"	"0.0032"	"0.0035"	"0.003"	"0.0079"	"0.5274"
"Or_g54_1_14"	"0.0025"	"0.0478"	"0.0045"	"0.0035"	"0.0037"	"0.003"	"0.0042"	"0.0031"	"0.008"	"0.5215"
"PMT_304_1_1"	"0.0027"	"4e-04"	"-0.0011"	"0.0224"	"0.0054"	"0.0031"	"0.005"	"0.003"	"0.006"	"0.5174"
"Gr_g76_5_1"	"0.004"	"0.0479"	"0.0038"	"0.0029"	"0.0042"	"0.003"	"0.0045"	"0.003"	"0.008"	"0.5164"
"Gr_g73_5_1"	"0.004"	"0.0472"	"0.0034"	"0.0031"	"0.0035"	"0.0037"	"0.0049"	"0.0029"	"0.0078"	"0.514"
"Gr_g67_3_2"	"0.0021"	"0.0471"	"0.0037"	"0.0032"	"0.0036"	"0.0037"	"0.0044"	"0.0025"	"0.0077"	"0.5101"
"PMT_21_1_1"	"0.02"	"0"	"0.0034"	"0.0086"	"0.001"	"0.0018"	"0.0079"	"0.0084"	"0.0051"	"0.5077"
"Gr_g2_3_1"	"0.0297"	"4e-04"	"-6e-04"	"0.016"	"0.0075"	"0.0019"	"0.0085"	"0.005"	"0.0072"	"0.5028"
"Control_g82_17_2"	"0.0054"	"0.0147"	"0.017"	"0.0052"	"0.0077"	"0.0027"	"0.0056"	"0.0052"	"0.0078"	"0.4993"
"PMT_19_1_1"	"0.0188"	"3e-04"	"0.0033"	"0.0081"	"8e-04"	"0.0013"	"0.0068"	"0.0087"	"0.0048"	"0.4955"
"PMT_23_1_1"	"0.0157"	"2e-04"	"0.0025"	"0.0072"	"0.0012"	"0.0017"	"0.0071"	"0.0091"	"0.0047"	"0.4948"
"P450_g11_4_4"	"0.0033"	"0.0467"	"0.0039"	"0.0031"	"0.0036"	"0.0032"	"0.0038"	"0.0028"	"0.0076"	"0.4937"
"PMT_17_1_1"	"0.0207"	"3e-04"	"0.003"	"0.0081"	"0.0012"	"0.0015"	"0.007"	"0.01"	"0.0052"	"0.4908"
"PMT_642_1_10"	"0.0043"	"0.0447"	"0.0036"	"0.0039"	"0.0038"	"0.0032"	"0.0049"	"0.003"	"0.0079"	"0.4905"
"PMT_403_1_1"	"0.0063"	"0"	"0.0037"	"-4e-04"	"0.0086"	"-3e-04"	"0.0098"	"0.0066"	"0.0048"	"0.4695"
"Or_g21_4_1"	"0.0042"	"0.001"	"0.0042"	"1e-04"	"-6e-04"	"0.0171"	"0.0294"	"0.0021"	"0.0053"	"0.4692"
"PMT_18_1_1"	"0.018"	"3e-04"	"0.003"	"0.0073"	"8e-04"	"0.0018"	"0.0087"	"0.007"	"0.0045"	"0.4667"
"OBP_g5_6_1"	"0.0153"	"3e-04"	"0.0029"	"0.0072"	"0.0011"	"0.002"	"0.0064"	"0.0082"	"0.0045"	"0.4604"
"PMT_20_1_1"	"0.0168"	"2e-04"	"0.0048"	"0.0086"	"7e-04"	"0.0018"	"0.0064"	"0.0078"	"0.0048"	"0.4549"
"Control_g49_4_1"	"0.0031"	"0.0315"	"0.0053"	"0.0027"	"0.0027"	"-0.002"	"0.0042"	"0.0031"	"0.0057"	"0.4507"
"PMT_594_1_1"	"0.0056"	"0.001"	"0.0327"	"-7e-04"	"0.0053"	"0.0025"	"0.0077"	"0"	"0.0057"	"0.4489"
"Control_g154_1_1"	"0.0014"	"2e-04"	"0.0015"	"0.002"	"0.0041"	"7e-04"	"0.0046"	"0.0173"	"0.0049"	"0.4448"
"Control_g132_1_2"	"0.0036"	"0.0371"	"0.0044"	"0.0032"	"7e-04"	"0.0032"	"0.004"	"0.002"	"0.006"	"0.443"
"Control_g190_4_2"	"0.0023"	"0.001"	"-1e-04"	"0.0042"	"7e-04"	"0.0061"	"0.008"	"0.0138"	"0.0045"	"0.4427"
"PMT_402_1_1"	"0.0047"	"2e-04"	"0.0039"	"-3e-04"	"0.0078"	"1e-04"	"0.0076"	"0.0074"	"0.0045"	"0.4373"
"Or_g20_1_4"	"0.0042"	"8e-04"	"0.005"	"6e-04"	"-6e-04"	"0.02"	"0.0222"	"-0.0014"	"0.0044"	"0.4244"
