""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_2"	"0.0153"	"0.0039"	"0.0167"	"0.0146"	"0.024"	"0.1128"	"0.0246"	"0.0413"	"0.031"	"1.9399"
"PMT_605_1_1"	"0.0506"	"0.0045"	"0.0585"	"0.0151"	"0.0946"	"0.0373"	"0.042"	"0.011"	"0.0432"	"1.9226"
"PMT_317_1_1"	"0.0047"	"0.0062"	"0.0283"	"0.0349"	"0.0537"	"0.0175"	"0.1395"	"8e-04"	"0.0359"	"1.8991"
"PMT_613_1_1"	"0.0473"	"0.0038"	"0.053"	"0.0146"	"0.0928"	"0.0353"	"0.0385"	"0.0129"	"0.0417"	"1.8326"
"PMT_313_1_1"	"2e-04"	"0.0067"	"0.0287"	"0.0374"	"0.0578"	"0.0159"	"0.1023"	"-0.0027"	"0.0332"	"1.6155"
"PMT_316_1_1"	"-0.0014"	"0.0068"	"0.0313"	"0.0383"	"0.0617"	"0.017"	"0.0888"	"-0.0012"	"0.0335"	"1.5471"
"Control_g56_7_1"	"-0.0038"	"0.0038"	"0.071"	"0.0105"	"0.031"	"0.0348"	"0.0162"	"0.0209"	"0.0247"	"1.2319"
"P450_g39_1_5"	"0.0183"	"0.0022"	"0.0086"	"0.0078"	"0.0085"	"0.0018"	"0.0838"	"-0.0041"	"0.0122"	"1.1648"
"PMT_308_1_1"	"0.0054"	"0.002"	"0.0022"	"0.0256"	"0.0094"	"0.0492"	"0.0093"	"0.0054"	"0.0133"	"1.1369"
"Gr_g34_3_3"	"0.0106"	"0.0162"	"0.0532"	"0.0109"	"0.0167"	"0.0095"	"0.0145"	"0.0125"	"0.0175"	"1.1041"
"PMT_306_1_1"	"0.0061"	"0.0022"	"0.0027"	"0.0243"	"0.0081"	"0.0475"	"0.01"	"0.0059"	"0.013"	"1.1037"
"PMT_309_1_1"	"0.0062"	"0.0022"	"0.0029"	"0.0228"	"0.0086"	"0.0467"	"0.0081"	"0.0056"	"0.0125"	"1.0883"
"Or_g53_1_10"	"-0.0067"	"0.0059"	"0.0147"	"0.0192"	"0.0085"	"0.0158"	"0.0663"	"0.008"	"0.0154"	"1.0732"
"PMT_307_1_1"	"0.0052"	"0.0015"	"0.0041"	"0.0237"	"0.0077"	"0.0453"	"0.0082"	"0.0057"	"0.0123"	"1.0574"
"Or_g52_4_2"	"0.0061"	"0.002"	"0.0682"	"-0.0024"	"0.0096"	"0.0047"	"0.0086"	"0.0045"	"0.0113"	"1"
"P450_g13_7_2"	"0.012"	"0.0016"	"0.0118"	"0.0142"	"0.0252"	"0.0235"	"0.0126"	"0.0057"	"0.0147"	"0.8377"
"Control_g208_4_2"	"0.0046"	"0.004"	"0.0067"	"0.0023"	"0.0058"	"0.0416"	"0.0041"	"0.0039"	"0.0082"	"0.8078"
"PMT_590_1_1"	"0.0088"	"0.0018"	"0.0661"	"0.0087"	"0.0049"	"0.007"	"0.0113"	"0.0015"	"0.0114"	"0.7944"
"Control_g12_2_19"	"0.0014"	"0.0095"	"-0.0024"	"0.0165"	"0.0147"	"0.0477"	"0.0107"	"0.002"	"0.0128"	"0.7769"
"Or_g41_4_1"	"0.0222"	"0.0015"	"0.0404"	"0.005"	"0.0078"	"0.0022"	"0.005"	"0.0047"	"0.0095"	"0.7441"
