	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	MeanDecreaseAccuracy	MeanDecreaseGini
Or_g6_3_1	0.0201	0.006	0.0243	0.0301	0.0426	0.2038	0.0367	0.0752	0.0545	3.4626
PMT_317_1_1	0.0028	0.0106	0.0457	0.0801	0.1088	0.0383	0.19	0.0086	0.0652	3.4288
PMT_615_1_1	0.0842	0.0057	0.0836	0.0358	0.1623	0.0703	0.0678	0.0252	0.0749	3.3548
PMT_309_1_1	0.0119	0.0036	0.0031	0.0551	0.018	0.0836	0.0154	0.0121	0.0257	2.3945
Control_g56_7_1	-0.0079	0.0055	0.1	0.0319	0.0604	0.07	0.0293	0.0375	0.045	2.3146
P450_g39_1_3	0.037	0.0032	0.0207	0.0176	0.0168	0.0067	0.1497	-0.0059	0.0236	2.1616
Or_g53_1_12	-0.0087	0.0074	0.0287	0.0473	0.0134	0.0378	0.1004	0.0128	0.0279	1.8994
P450_g13_7_1	0.0262	0.0042	0.0237	0.0509	0.0543	0.0502	0.0277	0.0087	0.0334	1.8863
PMT_393_1_1	-0.0038	0.0022	-0.0024	0.0797	0.0234	0.0289	0.0348	0.0256	0.0273	1.685
Control_g12_1_1	0.0052	0.0132	-0.0041	0.0545	0.026	0.0829	0.0227	-0.0021	0.0253	1.652
Gr_g34_3_1	0.0154	0.0046	0.0916	0.0152	0.0198	0.0126	0.0155	0.0143	0.0225	1.6067
PMT_590_1_1	0.0161	0.002	0.1124	0.0165	0.01	0.0099	0.017	0.0032	0.02	1.5271
Or_g52_5_1	0.0091	0.0018	0.0906	-0.004	0.0129	0.0085	0.0103	0.0067	0.0153	1.4655
PMT_17_1_1	0.0547	7e-04	0.0104	0.0348	8e-04	0.0051	0.0191	0.023	0.015	1.4465
Control_g208_4_3	0.0065	0.0023	0.0059	0.0072	0.0074	0.0755	0.009	0.0056	0.0133	1.3076
Or_g41_4_2	0.0426	0.0012	0.0672	0.0103	0.0139	0.0072	0.0097	0.0085	0.0169	1.2938
ApisSNMP_g9_1_16	-0.0053	0.0015	-0.0022	0.0223	-9e-04	0.0409	0.0281	0.0161	0.012	1.2912
P450_g22_4_4	0.0654	0.0014	0.0459	3e-04	0.0142	0.0062	0.0051	-8e-04	0.0125	1.2178
PMT_403_1_1	0.0188	3e-04	0.0086	0.0014	0.0201	7e-04	0.0169	0.02	0.0119	1.1681
Gr_g60_1_7	0.0052	0.0695	0.0065	0.0072	0.0093	0.0056	0.0048	0.0055	0.0131	1.0324
