""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g6_3_1"	"0.0125"	"0.0034"	"0.0179"	"0.015"	"0.0251"	"0.1194"	"0.0265"	"0.0428"	"0.0322"	"2.0181"
"PMT_609_1_1"	"0.0549"	"0.0046"	"0.0624"	"0.017"	"0.0935"	"0.044"	"0.0449"	"0.0089"	"0.0442"	"1.9437"
"PMT_613_1_1"	"0.0496"	"0.0054"	"0.0621"	"0.0149"	"0.0914"	"0.039"	"0.0414"	"0.0074"	"0.0425"	"1.8891"
"PMT_317_1_1"	"0.0042"	"0.0058"	"0.0256"	"0.0303"	"0.0502"	"0.0132"	"0.1299"	"0.0012"	"0.0327"	"1.7792"
"PMT_313_1_1"	"3e-04"	"0.0084"	"0.029"	"0.0351"	"0.0541"	"0.0151"	"0.1075"	"-0.0038"	"0.0325"	"1.6253"
"PMT_316_1_1"	"-0.002"	"0.0075"	"0.0311"	"0.0392"	"0.0635"	"0.0167"	"0.0969"	"-0.0024"	"0.0344"	"1.5767"
"P450_g39_1_5"	"0.0162"	"0.0027"	"0.0081"	"0.0082"	"0.0102"	"0.003"	"0.0934"	"-0.0048"	"0.0136"	"1.2863"
"Control_g56_7_2"	"-0.0033"	"0.0038"	"0.0752"	"0.0095"	"0.0326"	"0.0379"	"0.0158"	"0.0204"	"0.0255"	"1.2783"
"PMT_308_1_1"	"0.005"	"0.0018"	"0.0026"	"0.0228"	"0.009"	"0.0491"	"0.0073"	"0.0058"	"0.0129"	"1.0929"
"PMT_309_1_1"	"0.0058"	"0.002"	"0.0024"	"0.0227"	"0.0087"	"0.0467"	"0.009"	"0.0047"	"0.0125"	"1.044"
"Gr_g34_3_1"	"0.0103"	"0.0026"	"0.0547"	"0.0095"	"0.0134"	"0.007"	"0.0115"	"0.0091"	"0.0144"	"1.0244"
"PMT_306_1_1"	"0.0051"	"0.0016"	"0.0019"	"0.0232"	"0.0081"	"0.0435"	"0.0079"	"0.0047"	"0.0118"	"1.0099"
"Or_g53_1_11"	"-0.0042"	"0.0049"	"0.0145"	"0.0204"	"0.0086"	"0.0147"	"0.0647"	"0.0065"	"0.0149"	"1.0079"
"PMT_307_1_1"	"0.0056"	"0.0013"	"0.0033"	"0.0244"	"0.0081"	"0.0407"	"0.0082"	"0.0047"	"0.0119"	"0.9826"
"Or_g52_4_1"	"0.0055"	"0.001"	"0.0702"	"-0.0017"	"0.0096"	"0.0057"	"0.0061"	"0.0054"	"0.0116"	"0.9823"
"Or_g41_1_7"	"0.0188"	"0.0012"	"0.0415"	"0.0055"	"0.0081"	"0.0035"	"0.0069"	"0.0052"	"0.01"	"0.8072"
"P450_g13_5_1"	"0.0083"	"0.0016"	"0.0091"	"0.0187"	"0.0207"	"0.0211"	"0.0064"	"0.0015"	"0.012"	"0.7794"
"Control_g208_1_1"	"0.0051"	"0.0017"	"0.0046"	"0.0035"	"0.0052"	"0.0521"	"0.0041"	"0.0036"	"0.0088"	"0.7774"
"Or_g55_1_11"	"0.0055"	"9e-04"	"0.0566"	"-0.001"	"0.0073"	"0.0037"	"0.0051"	"2e-04"	"0.0085"	"0.7742"
"Control_g12_1_1"	"0.001"	"0.0089"	"-0.0037"	"0.0186"	"0.0147"	"0.0438"	"0.0112"	"5e-04"	"0.0121"	"0.7693"
