Model_Terms	2_PtDup_coef	3_CpDup_coef	2_PtDup_sd	3_CpDup_sd	2_PtDup_z	3_CpDup_z	2_PtDup_p-val	3_CpDup_p-val
(Intercept)	-17.18038	4.12744	3.41983	3.11951	-5.02375	1.3231	0	0.1858
LnExonLength	1.50536	-0.78091	0.41653	0.46158	3.61409	-1.6918	3e-04	0.09068
LnGeneLength	0.5956	-0.11175	0.17068	0.20417	3.48956	-0.54736	0.00048	0.58413
FamilyGr	1.57565	-0.1538	0.48383	1.10782	3.25659	-0.13883	0.00113	0.88958
FamilyOr	0.62799	0.32469	0.50603	0.72553	1.24102	0.44752	0.2146	0.6545
FamilyP450	-0.29809	1.09998	0.4699	0.64971	-0.63437	1.69302	0.52584	0.09045
trimmedYes	-0.17838	1.35317	0.37829	0.50907	-0.47154	2.65815	0.63726	0.00786
FamilyGr:trimmedYes	-0.25161	1.52471	0.72987	1.22918	-0.34473	1.24042	0.7303	0.21482
FamilyOr:trimmedYes	0.78676	1.78341	0.79996	0.90694	0.98351	1.9664	0.32536	0.04925
FamilyP450:trimmedYes	1.71322	0.07844	0.75708	0.89736	2.26294	0.08741	0.02364	0.93034
