	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	36.24253	8.82726	4.10575	4e-05
LnGeneLength	-1.94818	0.65442	-2.97694	0.00291
LnExonLength	-2.82798	1.03632	-2.72887	0.00636
FamilyGr	23.72872	44.44322	0.53391	0.5934
FamilyOr	-5.30267	22.16876	-0.2392	0.81095
FamilyP450	29.69046	31.08339	0.95519	0.33948
LnGeneLength:FamilyGr	-0.0226	1.36316	-0.01658	0.98677
LnGeneLength:FamilyOr	2.08067	1.10269	1.88691	0.05917
LnGeneLength:FamilyP450	1.61383	1.0728	1.50432	0.1325
LnExonLength:FamilyGr	-3.4868	5.97176	-0.58388	0.5593
LnExonLength:FamilyOr	-1.67978	3.66735	-0.45804	0.64693
LnExonLength:FamilyP450	-5.89417	3.93145	-1.49924	0.13381
