	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	21.1031	7.00217	3.01379	0.00258
LnGeneLength	-1.41401	0.57084	-2.47709	0.01325
LnExonLength	-1.29369	0.79361	-1.63014	0.10307
FamilyGr	39.08078	58.62345	0.66664	0.505
FamilyOr	61.28095	29.08352	2.10707	0.03511
FamilyP450	-8.36062	14.09276	-0.59326	0.55301
LnGeneLength:FamilyGr	1.17014	1.09792	1.06578	0.28652
LnGeneLength:FamilyOr	5.49389	1.58277	3.47105	0.00052
LnGeneLength:FamilyP450	0.98735	0.99726	0.99006	0.32214
LnExonLength:FamilyGr	-7.0146	8.40771	-0.83431	0.40411
LnExonLength:FamilyOr	-15.01791	5.57958	-2.69158	0.00711
LnExonLength:FamilyP450	-0.03279	1.7627	-0.0186	0.98516
