	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-7.05757	2.47882	-2.84715	0.00441
LnGeneLength	0.11207	0.16162	0.69343	0.48804
LnExonLength	0.50164	0.32548	1.54121	0.12326
FamilyGr	5.69472	9.6563	0.58974	0.55536
FamilyOr	22.25237	8.33404	2.67006	0.00758
FamilyP450	16.68705	8.59717	1.94099	0.05226
LnGeneLength:FamilyGr	-0.6547	0.45069	-1.45267	0.14632
LnGeneLength:FamilyOr	0.38961	0.41884	0.93022	0.35226
LnGeneLength:FamilyP450	-0.32599	0.41719	-0.7814	0.43457
LnExonLength:FamilyGr	0.07786	1.42433	0.05467	0.9564
LnExonLength:FamilyOr	-3.45751	1.40971	-2.45263	0.01418
LnExonLength:FamilyP450	-1.82863	1.1353	-1.6107	0.10725
