	Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-3.30487	2.55695	-1.29251	0.19618
LnGeneLength	-0.24128	0.17759	-1.35867	0.17425
LnExonLength	0.4121	0.33609	1.22617	0.22014
FamilyGr	22.03497	8.67822	2.53911	0.01111
FamilyOr	10.25996	6.4803	1.58325	0.11336
FamilyP450	21.82361	8.1066	2.69208	0.0071
LnGeneLength:FamilyGr	0.34504	0.44231	0.78009	0.43534
LnGeneLength:FamilyOr	0.61266	0.34158	1.79362	0.07287
LnGeneLength:FamilyP450	-0.09284	0.45463	-0.20421	0.83819
LnExonLength:FamilyGr	-3.51141	1.41904	-2.4745	0.01334
LnExonLength:FamilyOr	-1.99209	1.09106	-1.82583	0.06788
LnExonLength:FamilyP450	-2.85004	1.14629	-2.48632	0.01291
