	Control_g73_5_1	Control_g73_5_2	Control_g73_5_3	Control_g73_5_4	Control_g73_5_5	Or_g54_1_12	Or_g54_1_13	Or_g54_1_14	Or_g54_1_15	Gr_g73_5_1	Gr_g73_4_1	Gr_g73_4_2	Control_g86_3_1	Control_g86_3_2	Control_g86_7_1	Control_g86_7_2	Control_g86_7_3	Control_g86_7_4	Control_g86_7_5	Control_g86_7_6	Control_g86_1_1	Control_g86_4_1	Control_g86_4_2	Control_g86_4_3	Control_g86_5_1	Control_g86_5_2	Control_g86_5_3	Control_g86_5_4	Control_g86_5_5	Control_g86_5_6	P450_g24_2_1	P450_g24_2_2	P450_g24_2_3	P450_g24_2_4	P450_g24_2_5	P450_g24_2_6	P450_g24_2_7	P450_g24_2_8	Gr_g67_3_1	Gr_g67_3_2	PMT_358_1_1	PMT_359_1_1	Gr_g76_1_7	Gr_g76_1_8	Gr_g76_1_9	Gr_g76_1_10	Gr_g76_1_11	Gr_g76_1_12	Gr_g76_1_13	Gr_g76_1_14	Gr_g76_1_15	Gr_g76_1_16	Gr_g76_1_17	Gr_g76_5_1	Gr_g76_5_2	Gr_g76_4_1	Gr_g76_4_2	PMT_239_1_1	PMT_236_1_1	PMT_235_1_1	P450_g11_1_1	P450_g11_1_2	P450_g11_1_3	P450_g11_1_4	P450_g11_1_5	P450_g11_1_6	P450_g11_1_7	P450_g11_1_8	P450_g11_1_9	P450_g11_1_10	P450_g11_5_1	P450_g11_5_2	P450_g11_5_3	P450_g11_5_4	P450_g11_4_1	P450_g11_4_2	P450_g11_4_3	P450_g11_4_4	P450_g11_6_1	P450_g11_6_2	P450_g11_6_3	P450_g11_2_1	P450_g11_2_2	P450_g11_2_3	P450_g11_2_4	P450_g11_3_1	P450_g11_3_2	P450_g11_3_3	P450_g11_3_4	PMT_642_1_10	PMT_649_1_1	PMT_649_1_2
Cytisus_131_T4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytisus_132_T5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytisus_14_T6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytisus_21_T8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cytisus_244_T9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lathyrus_171_T19	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	0.5
Lathyrus_174_T20	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	0.5
Lathyrus_273_T21	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	0.5
Lathyrus_275_T22	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	0.5
Lathyrus_280_T23	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0.5	0.5	0.5
