	Cytisus	Lathyrus	L.corn.	L.ped.	Medicago	Ononis	Pisum	Trifolium	MeanDecreaseAccuracy	MeanDecreaseGini
Or_g6_3_1	0.0201	0.006	0.0243	0.0301	0.0426	0.2038	0.0367	0.0752	0.0545	3.4626
PMT_317_1_1	0.0028	0.0106	0.0457	0.0801	0.1088	0.0383	0.19	0.0086	0.0652	3.4288
PMT_615_1_1	0.0842	0.0057	0.0836	0.0358	0.1623	0.0703	0.0678	0.0252	0.0749	3.3548
PMT_309_1_1	0.0119	0.0036	0.0031	0.0551	0.018	0.0836	0.0154	0.0121	0.0257	2.3945
Control_g56_7_1	-0.0079	0.0055	0.1	0.0319	0.0604	0.07	0.0293	0.0375	0.045	2.3146
P450_g39_1_3	0.037	0.0032	0.0207	0.0176	0.0168	0.0067	0.1497	-0.0059	0.0236	2.1616
Or_g53_1_12	-0.0087	0.0074	0.0287	0.0473	0.0134	0.0378	0.1004	0.0128	0.0279	1.8994
P450_g13_7_1	0.0262	0.0042	0.0237	0.0509	0.0543	0.0502	0.0277	0.0087	0.0334	1.8863
PMT_393_1_1	-0.0038	0.0022	-0.0024	0.0797	0.0234	0.0289	0.0348	0.0256	0.0273	1.685
Control_g12_1_1	0.0052	0.0132	-0.0041	0.0545	0.026	0.0829	0.0227	-0.0021	0.0253	1.652
Gr_g34_3_1	0.0154	0.0046	0.0916	0.0152	0.0198	0.0126	0.0155	0.0143	0.0225	1.6067
PMT_590_1_1	0.0161	0.002	0.1124	0.0165	0.01	0.0099	0.017	0.0032	0.02	1.5271
Or_g52_5_1	0.0091	0.0018	0.0906	-0.004	0.0129	0.0085	0.0103	0.0067	0.0153	1.4655
PMT_17_1_1	0.0547	7e-04	0.0104	0.0348	8e-04	0.0051	0.0191	0.023	0.015	1.4465
Control_g208_4_3	0.0065	0.0023	0.0059	0.0072	0.0074	0.0755	0.009	0.0056	0.0133	1.3076
Or_g41_4_2	0.0426	0.0012	0.0672	0.0103	0.0139	0.0072	0.0097	0.0085	0.0169	1.2938
ApisSNMP_g9_1_16	-0.0053	0.0015	-0.0022	0.0223	-9e-04	0.0409	0.0281	0.0161	0.012	1.2912
P450_g22_4_4	0.0654	0.0014	0.0459	3e-04	0.0142	0.0062	0.0051	-8e-04	0.0125	1.2178
PMT_403_1_1	0.0188	3e-04	0.0086	0.0014	0.0201	7e-04	0.0169	0.02	0.0119	1.1681
Gr_g60_1_7	0.0052	0.0695	0.0065	0.0072	0.0093	0.0056	0.0048	0.0055	0.0131	1.0324
Or_g21_2_2	0.0062	0.0014	0.0079	0.0015	-0.0012	0.0402	0.0508	9e-04	0.0098	0.9921
PMT_257_1_1	0.0737	1e-04	0.0127	0.0041	0.0061	0.002	0.0018	0.0039	0.0079	0.9583
Control_g190_4_3	-5e-04	0.0014	0.0022	0.0166	0.005	0.018	0.0151	0.0277	0.0118	0.9212
PMT_377_1_1	6e-04	7e-04	0.0034	0.0269	0.0085	8e-04	0.002	0.0098	0.0083	0.9043
Control_g82_17_7	0.008	0.0202	0.0285	0.0093	0.0134	0.0057	0.0097	0.0094	0.0128	0.8943
Or_g74_1_6	0.0032	0.0695	0.0047	0.0049	0.0056	0.0051	0.0069	0.0053	0.0118	0.8917
Control_g155_2_12	0.0031	6e-04	0.0034	0.0049	0.0104	0.0027	0.0067	0.0378	0.011	0.8867
Control_g188_4_1	0.0678	4e-04	0.001	-5e-04	0.0125	0.0103	0.01	0.0066	0.0094	0.8406
Gr_g36_4_1	0.0035	0.0704	0.0066	0.0049	0.0061	0.0048	0.0051	0.0042	0.0115	0.8335
Gr_g73_5_1	0.0043	0.0734	0.0057	0.006	0.0061	0.0059	0.0061	0.0039	0.0124	0.7963
PMT_358_1_1	0.0041	0.0737	0.0056	0.0049	0.0054	0.0059	0.0059	0.0045	0.0119	0.7898
Gr_g42_4_2	0.0048	0.0707	0.0057	0.0013	0.0061	0.0051	0.0062	0.0052	0.0113	0.7865
Control_g49_1_1	0.0051	0.0446	0.0098	0.0056	0.0026	-0.0025	0.0062	0.0046	0.0082	0.7857
P450_g11_2_3	0.0044	0.0722	0.0052	0.0049	0.0058	0.0057	0.0055	0.0039	0.0115	0.7763
Control_g132_1_1	0.0092	0.0509	0.0052	0.0044	0.0014	0.0048	0.0061	0.0032	0.0086	0.7468
PMT_642_1_10	0.0048	0.0677	0.0053	0.0051	0.0054	0.0049	0.0058	0.0047	0.0115	0.7384
PMT_501_1_1	0.0035	0.0011	0.0033	0.0037	0.0037	0.0291	0.0042	0.003	0.006	0.7273
PMT_649_1_2	0.0067	0.067	0.0046	0.0049	0.0054	0.0057	0.0053	0.0042	0.0113	0.7192
Or_g54_1_15	0.0051	0.0659	0.0043	0.0046	0.0048	0.0054	0.0051	0.0044	0.0109	0.7157
P450_g24_2_7	0.0906	0	0.0014	0.0018	0.0025	5e-04	0.0025	0.0013	0.0057	0.6428
Control_g133_3_2	-0.0029	8e-04	0.008	2e-04	0.0194	6e-04	0.0126	0.0132	0.0088	0.6194
Gr_g50_4_1	0.0743	2e-04	0.0022	0.0024	-0.0011	0.0015	0.003	0.0019	0.0046	0.6099
Control_g72_2_1	0.003	0.0149	-0.0012	0.0027	0.0012	0.0028	0.0085	0.006	0.0043	0.6006
IR_g8_1_12	0.0052	0	-1e-04	0.0134	0.0135	0.004	0.01	-0.0029	0.0063	0.5599
PS_g2_2_3	-0.0031	0.002	0.0049	0.0061	0.0023	-2e-04	0.0047	0.0131	0.0046	0.5339
PMT_621_1_1	0.0012	0	-0.001	-0.0011	0.0018	5e-04	0.0059	0.0077	0.0021	0.3815
PMT_344_1_1	0.0392	0	2e-04	9e-04	0.0014	2e-04	0.0013	6e-04	0.0027	0.3784
PMT_586_1_1	0.0043	0.0115	0.0056	-2e-04	0.001	-3e-04	-4e-04	0.0017	0.0024	0.3738
Control_g203_14_7	0.0093	1e-04	-0.0017	0	0.0047	0.0013	0.0035	-3e-04	0.0018	0.3161
Or_g49_1_8	0.002	0.017	0.0017	0.0019	0.0018	0.002	0.002	0.0019	0.0036	0.3091
PMT_648_1_3	0.0031	0.0102	0.0028	-3e-04	0.0068	0.0028	0.0044	0.0014	0.0039	0.2952
Or_g8_1_13	0.0011	0.0023	0.0014	0.0019	-0.001	0.0014	0.0027	0.0038	0.0015	0.2925
Gr_g8_4_1	0.001	4e-04	7e-04	9e-04	0.0039	0.003	0.0015	0	0.0017	0.2745
P450_g29_3_1	0.0022	9e-04	8e-04	0.0015	0.0029	0.0014	0.003	0.0021	0.002	0.2447
PMT_559_1_1	7e-04	0	1e-04	6e-04	0.0014	0	0.0011	0.0039	0.0013	0.2254
P450_g58_2_2	5e-04	2e-04	5e-04	0.0012	8e-04	0.003	0.0013	6e-04	0.001	0.2185
Gr_g38_1_11	2e-04	1e-04	7e-04	0.004	-4e-04	4e-04	6e-04	9e-04	8e-04	0.2008
P450_g49_5_2	3e-04	0	5e-04	0.0033	7e-04	2e-04	4e-04	2e-04	8e-04	0.1967
P450_g68_2_1	4e-04	0	6e-04	8e-04	8e-04	0.0039	5e-04	3e-04	9e-04	0.1906
Gr_g75_2_5	0.0073	0	-7e-04	-6e-04	-2e-04	4e-04	0.0015	0.001	5e-04	0.1814
