"Gene"	"Aliases"	"Aliases3"	"GeneCateg"	"PromoterOf"	"contigV1"	"startV1"	"stopV1"	"strandV1"	"Npaths"	"contigV2"	"startV2"	"stopV2"	"strandV2"	"Qstart"	"Qstop"	"LQueryMapped"	"QueryLength"	"coverage"	"TrimmedCoverage"	"PcIdentity"	"matches"	"mismatches"	"indels"	"unknowns"	"TranslateStart"	"TranslateStop"	"NbOfAA"	"AAchanges"	"NewTargetName"
"Gr1"	"Gr_g1.1"	"Gr1.5"	"Gr"	"None"	"EQ126506"	88246	87972	"-"	1	"GL350420"	92448	92174	"-"	1	275	275	275	100	100	100	275	0	0	0	3	275	91	NA	"Gr_g1_1"
"Gr1"	"Gr_g1.2"	"Gr1.2"	"Gr"	"None"	"EQ126506"	92112	91917	"-"	1	"GL350420"	96314	96119	"-"	1	196	196	196	100	100	100	196	0	0	0	3	197	65	NA	"Gr_g1_2"
"Gr1"	"Gr_g1.3"	"Gr1.4"	"Gr"	"None"	"EQ126506"	90057	89872	"-"	1	"GL350420"	94259	94074	"-"	1	186	186	186	100	100	100	186	0	0	0	3	185	61	NA	"Gr_g1_3"
"Gr1"	"Gr_g1.4"	"Gr1.7"	"Gr"	"None"	"EQ126506"	84650	84488	"-"	1	"GL350420"	85952	85790	"-"	1	163	163	163	100	100	100	163	0	0	0	2	163	54	NA	"Gr_g1_4"
"Gr1"	"Gr_g1.5"	"Gr1.1"	"Gr"	"None"	"EQ126506"	101308	101152	"-"	1	"GL350420"	105750	105594	"-"	1	157	157	157	100	100	100	157	0	0	0	1	156	52	NA	"Gr_g1_5"
"Gr1"	"Gr_g1.6"	"Gr1.6"	"Gr"	"None"	"EQ126506"	84860	84706	"-"	1	"GL350420"	86162	86008	"-"	1	155	155	155	100	100	100	155	0	0	0	1	153	51	NA	"Gr_g1_6"
"Gr1"	"Gr_g1.7"	"Gr1.3"	"Gr"	"None"	"EQ126506"	90631	90513	"-"	1	"GL350420"	94833	94715	"-"	1	119	119	119	100	100	100	119	0	0	0	1	120	40	NA	"Gr_g1_7"
"Gr1"	"Gr_g1.8"	"Gr1.9"	"Gr"	"None"	"EQ126506"	83156	83055	"-"	1	"GL350420"	84458	84357	"-"	1	102	102	102	100	100	100	102	0	0	0	1	102	33	NA	"Gr_g1_8"
"Gr1"	"Gr_g1.9"	"Gr1.8"	"Gr"	"None"	"EQ126506"	83334	83245	"-"	1	"GL350420"	84636	84547	"-"	1	90	90	90	100	100	100	90	0	0	0	1	90	30	NA	"Gr_g1_9"
"Gr10"	"Gr_g2.1"	"Gr10.1"	"Gr"	"None"	"EQ127119"	20436	19604	"-"	1	"GL350104"	38153	38986	"+"	1	833	833	833	100	100	99.2	827	6	1	0	3	769	255	NA	"Gr_g2_1"
