TargetNb	targetID	Chromosome	Start	End
1	Control_g153.2	GL349621	190912	191212
2	Control_g153.1	GL349621	192278	192494
3	Control_g153.3	GL349621	193125	193496
4	Control_g209.6	GL349622	974975	975795
5	Control_g209.3	GL349622	975856	976050
6	Control_g209.5	GL349622	976159	976619
7	Control_g209.4	GL349622	979159	979467
8	Control_g209.2	GL349622	979538	979579
9	Control_g209.1	GL349622	984736	984775
10	PMT_228	GL349623	820319	820369
11	PMT_229	GL349623	820373	820423
12	PMT_230	GL349623	820578	820628
13	PMT_231	GL349623	820673	820723
14	Gr_g26.1	GL349623	821589	822533
15	Gr_g26.3	GL349623	824229	824297
16	Gr_g26.2	GL349623	824378	824461
17	Gr_g26.4	GL349623	824603	824665
18	Gr_g27.1	GL349623	827384	828241
19	Gr_g27.3	GL349623	828913	828981
20	Gr_g27.2	GL349623	829067	829156
21	Gr_g27.4	GL349623	831454	831504
22	PMT_233	GL349623	837133	837183
23	Control_g190.4	GL349623	1890292	1890462
24	Control_g190.1	GL349623	1900540	1900590
25	Control_g190.7	GL349623	1900659	1901046
26	Control_g190.2	GL349623	1902082	1902234
27	Control_g177.4	GL349624	959507	959711
28	Control_g177.5	GL349624	990560	990768
29	Control_g177.3	GL349624	992192	992327
30	Control_g177.2	GL349624	993877	994010
31	Control_g177.6	GL349624	1031457	1031697
32	Control_g177.1	GL349624	1034933	1035006
33	Control_g204.13	GL349624	1173655	1173828
34	Control_g204.12	GL349624	1174979	1175149
35	Control_g204.15	GL349624	1175248	1175446
36	Control_g204.1	GL349624	1176392	1176440
37	Control_g204.3	GL349624	1176998	1177056
38	Control_g204.9	GL349624	1177161	1177267
39	Control_g204.11	GL349624	1177351	1177521
40	Control_g204.8	GL349624	1178171	1178269
41	Control_g204.14	GL349624	1178503	1178683
42	Control_g204.16	GL349624	1178745	1178982
43	Control_g204.5	GL349624	1179064	1179153
44	Control_g204.10	GL349624	1179227	1179388
45	Control_g204.2	GL349624	1180540	1180590
46	Control_g204.7	GL349624	1180851	1180948
47	Control_g204.4	GL349624	1181378	1181438
48	Control_g204.6	GL349624	1184199	1184293
49	Control_g161.6	GL349625	841514	842021
50	Control_g161.5	GL349625	842435	842718
51	Gr_g36.1	GL349627	445761	446409
52	Gr_g36.5	GL349627	447636	447704
53	Gr_g36.4	GL349627	447961	448053
54	Control_g144.7	GL349627	1759935	1760093
55	Control_g144.8	GL349627	1760150	1760319
56	Control_g144.11	GL349627	1760382	1760583
57	Control_g144.2	GL349627	1760890	1760953
58	Control_g144.9	GL349627	1761019	1761192
