chrom	start	end	length	name	mean.ratio
GL349621	190912	190961	50	Control_g153.2_1	0.997240302872911
GL349621	190963	191012	50	Control_g153.2_2	0.997994047128733
GL349621	191014	191063	50	Control_g153.2_3	0.998231806645899
GL349621	191065	191114	50	Control_g153.2_4	0.998105398227925
GL349621	191116	191165	50	Control_g153.2_5	0.998024625012793
GL349621	191167	191212	46	Control_g153.2_6	0.997983182193225
GL349621	192278	192333	56	Control_g153.1_1	0.998936857782701
GL349621	192335	192384	50	Control_g153.1_2	0.998982894928909
GL349621	192386	192435	50	Control_g153.1_3	0.999028619732494
GL349621	192437	192494	58	Control_g153.1_4	0.99898273167623
GL349621	193125	193181	57	Control_g153.3_1	0.998566662373094
GL349621	193183	193232	50	Control_g153.3_2	0.998863870904968
GL349621	193234	193283	50	Control_g153.3_3	0.998976597214694
GL349621	193285	193334	50	Control_g153.3_4	0.998914656531609
GL349621	193336	193385	50	Control_g153.3_5	0.998943474304168
GL349621	193387	193436	50	Control_g153.3_6	0.998748613773289
GL349621	193438	193496	59	Control_g153.3_7	0.998581809550407
GL349622	974975	975026	52	Control_g209.6_1	0.998629009571174
GL349622	975028	975077	50	Control_g209.6_2	0.998234808488977
GL349622	975079	975128	50	Control_g209.6_3	0.997611579715502
GL349622	975130	975179	50	Control_g209.6_4	0.997512189008359
GL349622	975181	975230	50	Control_g209.6_5	0.998246948543419
GL349622	975232	975281	50	Control_g209.6_6	0.998747921717376
GL349622	975283	975332	50	Control_g209.6_7	0.998638005310645
GL349622	975334	975383	50	Control_g209.6_8	0.998386353891092
GL349622	975385	975434	50	Control_g209.6_9	0.998249539323131
GL349622	975436	975485	50	Control_g209.6_10	0.998288987905021
GL349622	975487	975536	50	Control_g209.6_11	0.998260711892435
GL349622	975538	975587	50	Control_g209.6_12	0.998710676950804
GL349622	975589	975638	50	Control_g209.6_13	0.998862745162422
GL349622	975640	975689	50	Control_g209.6_14	0.998711611079974
GL349622	975691	975740	50	Control_g209.6_15	0.998432018342583
GL349622	975742	975795	54	Control_g209.6_16	0.99834007244832
GL349622	975856	975905	50	Control_g209.3_1	0.99846532705923
GL349622	975907	975956	50	Control_g209.3_2	0.99860340584454
GL349622	975958	976007	50	Control_g209.3_3	0.998666749606492
GL349622	976009	976050	42	Control_g209.3_4	0.998529836423876
GL349622	976159	976209	51	Control_g209.5_1	0.997313863406127
GL349622	976211	976260	50	Control_g209.5_2	0.997805411210047
GL349622	976262	976311	50	Control_g209.5_3	0.997641351610302
GL349622	976313	976362	50	Control_g209.5_4	0.997743526806823
GL349622	976364	976413	50	Control_g209.5_5	0.998080424355291
GL349622	976415	976464	50	Control_g209.5_6	0.998004250951029
GL349622	976466	976515	50	Control_g209.5_7	0.997881845222763
GL349622	976517	976566	50	Control_g209.5_8	0.997947899401937
GL349622	976568	976619	52	Control_g209.5_9	0.997948981803085
GL349622	979159	979209	51	Control_g209.4_1	0.999042382028753
GL349622	979211	979260	50	Control_g209.4_2	0.998931637928689
GL349622	979262	979311	50	Control_g209.4_3	0.998880045314456
GL349622	979313	979362	50	Control_g209.4_4	0.998741337916532
GL349622	979364	979413	50	Control_g209.4_5	0.998654709193818
GL349622	979415	979467	53	Control_g209.4_6	0.998727369653196
GL349622	979538	979579	42	Control_g209.2	0.99880728089996
GL349622	984736	984775	40	Control_g209.1	0.998977808125194
GL349623	820319	820369	51	PMT_228	0.985840210789112
GL349623	820373	820423	51	PMT_229	0.988933252588571
GL349623	820578	820628	51	PMT_230	0.988371437008718
GL349623	820673	820723	51	PMT_231	0.953346962516423
GL349623	821589	821638	50	Gr_g26.1_1	0.994180077823678
GL349623	821640	821689	50	Gr_g26.1_2	0.993417018077664
GL349623	821691	821740	50	Gr_g26.1_3	0.994075963175061
GL349623	821742	821791	50	Gr_g26.1_4	0.996025265240098
GL349623	821793	821842	50	Gr_g26.1_5	0.99744282585585
GL349623	821844	821893	50	Gr_g26.1_6	0.996960320460134
GL349623	821895	821944	50	Gr_g26.1_7	0.997290149670091
GL349623	821946	821995	50	Gr_g26.1_8	0.997974683065172
GL349623	821997	822046	50	Gr_g26.1_9	0.998390741998087
GL349623	822048	822097	50	Gr_g26.1_10	0.998120737562367
GL349623	822099	822148	50	Gr_g26.1_11	0.996621393137966
GL349623	822150	822199	50	Gr_g26.1_12	0.995368626864304
GL349623	822201	822250	50	Gr_g26.1_13	0.995972165797652
GL349623	822252	822301	50	Gr_g26.1_14	0.99709318202446
GL349623	822303	822352	50	Gr_g26.1_15	0.997806960762557
GL349623	822354	822403	50	Gr_g26.1_16	0.998111607707215
GL349623	822405	822454	50	Gr_g26.1_17	0.998447649637321
GL349623	822456	822505	50	Gr_g26.1_18	0.998657291431511
GL349623	822507	822533	27	Gr_g26.1_19	0.998974496759561
GL349623	824229	824297	69	Gr_g26.3	0.993657406491053
GL349623	824378	824427	50	Gr_g26.2_1	0.998656104379352
GL349623	824429	824461	33	Gr_g26.2_2	0.999118129097005
GL349623	824603	824665	63	Gr_g26.4	0.99868829412232
GL349623	827384	827433	50	Gr_g27.1_1	0.997841647307452
GL349623	827435	827484	50	Gr_g27.1_2	0.998184968681781
GL349623	827486	827535	50	Gr_g27.1_3	0.997305906561391
GL349623	827537	827586	50	Gr_g27.1_4	0.996097388198287
GL349623	827588	827637	50	Gr_g27.1_5	0.996258727983629
GL349623	827639	827688	50	Gr_g27.1_6	0.996260703793452
GL349623	827690	827739	50	Gr_g27.1_7	0.997157864200501
GL349623	827741	827790	50	Gr_g27.1_8	0.998286568032376
GL349623	827792	827841	50	Gr_g27.1_9	0.998010359740486
GL349623	827843	827892	50	Gr_g27.1_10	0.997962698295498
GL349623	827894	827943	50	Gr_g27.1_11	0.997730266234967
GL349623	827945	827994	50	Gr_g27.1_12	0.997343208403996
GL349623	827996	828045	50	Gr_g27.1_13	0.997362621707279
GL349623	828047	828096	50	Gr_g27.1_14	0.997179393241216
