Gene	Family	Subtarget	MDR	CDD_MDR	CN_MDR	RF_rank	MDG	MCN Cytisus	RF score Cytisus	MCN Lathyrus	RF score Lathyrus	MCN L.corn.	RF score L.corn.	MCN L.ped.	RF score L.ped.	MCN Medicago	RF score Medicago	MCN Ononis	RF score Ononis	MCN Pisum	RF score Pisum	MCN Trifolium	RF score Trifolium	MDA
Or72_PMT9	PMT	PMT_615_1_1	L.corn.	NA	0	1	3.1043	0	0.1146	0.5	0.0059	0	0.1334	0.75	0.0374	1	0.0847	0	0.0965	0.5	0.073	0.5	0.0133	0.0722
Gr59_PMT1	PMT	PMT_313_1_1	Pisum	NA	0	2	3.0176	0	0.0054	0.5	0.0105	1	0.0526	0.5	0.0825	1	0.0898	1	0.0163	0	0.204	0.5	0.0095	0.0682
Gr56_PMT5	PMT	PMT_306_1_1	Ononis	NA	0	3	2.228	1	0.0148	1	0.0049	1	0.0111	1.5	0.0373	1	0.0206	0	0.1592	1	0.0175	1	-0.0018	0.035
prolyl 4-hydroxylase alpha subunit 1, putative (LOC100165503)	Control	Control_g56_7_2	L.corn.	TRUE	0	4	2.2254	0.5	-0.0111	1	0.0059	0	0.1174	0	0.0247	1	0.0609	0	0.0615	1	0.0303	1	0.0134	0.0474
Or14P	Or	Or_g6_5_2	Ononis	TRUE	0	5	2.2002	1	0.0163	1	0.0011	1	0.0176	1	0.0159	1	0.0189	0	0.2094	1	0.0171	1	0.0113	0.0382
P450_XM_001944396	P450	P450_g13_5_1	Ononis	TRUE	0.5	6	2.0051	1	0.025	1	0.0036	1	0.0274	0	0.0464	1	0.0461	0.5	0.077	0.5	0.0239	1	0.0219	0.0395
Gr4	Gr	Gr_g34_3_4	L.corn.	FALSE	0.25	7	1.9098	1	0.0193	0.25	0.0261	0.25	0.1023	1	0.0182	1	0.0263	1	0.0186	1	0.0191	1	0.0166	0.0303
P450_XM_001945798	P450	P450_g22_4_4	Cytisus	NA	1.5	8	1.752	1.5	0.0743	1	0.002	0.5	0.0693	1	0.0027	1	0.0181	1	0.008	1	0.007	0.5	0.0349	0.0207
Or55P	Or	Or_g51_1_13	L.ped.	FALSE	1.5	9	1.6599	1	0.0133	1	0.0023	1	-0.0043	1.5	0.1284	1	0.0186	1	0.0089	1	0.0186	1	0.0105	0.0282
TRASSc9 (LOC100162726)	Control	Control_g12_2_4	Ononis	TRUE	0	10	1.4715	1.5	0.0058	0	0.0099	1.25	-0.0035	1.5	0.0489	1	0.0114	0	0.08	1	0.0209	1	0.0082	0.0235
Or12_PMT4	PMT	PMT_393_1_1	L.ped.	NA	0	11	1.4571	0.5	0.0015	2	0.0201	1	0.0013	0	0.0663	1	0.0112	0	0.0088	1	0.0349	1	0.0131	0.0201
calreticulin (LOC100166837)	Control	Control_g208_4_3	Ononis	FALSE	0	12	1.4239	1	0.0076	1	0.0023	1	0.0093	1	0.0084	1	0.0094	0	0.0913	1	0.0109	1	0.0045	0.0182
Gr10	Gr	Gr_g2_1_3	L.ped.	FALSE	0.5	13	1.4218	1	0.0131	1	0.0026	1	-0.0046	0.5	0.1103	1	0.0067	1	0.0099	1	0.0178	1	0.0094	0.0213
Gr41	Gr	Gr_g36_2_3	Trifolium	TRUE	1.5	14	1.3599	1	0.0028	0.5	4e-04	1	0.0053	1	0.0022	1	0.0074	1	0.0019	1	0.0056	1.5	0.1633	0.0132
Or69_PMT2	PMT	PMT_590_1_1	L.corn.	NA	0.5	15	1.3258	1	0.0174	1	0.0018	0.5	0.1083	1	0.005	1	0.0028	1	0.0116	1	-0.0036	0.5	0.0173	0.0153
Or77_PMT1	PMT	PMT_616_1_1	L.corn.	NA	0.5	16	1.305	0.5	0.0064	0.5	0.004	0.5	0.0575	1	0.0118	1	0.0281	0.5	-0.0021	1	0.0408	0.5	0.0118	0.0215
Or45_PMT10	PMT	PMT_534_1_1	L.ped.	NA	1.5	17	1.2273	1.5	0.0015	1	0.0013	1	-0.0013	1.5	0.0641	1	0.0426	1	0.001	1.5	0.0224	1	0.0022	0.0264
Or13_PMT9	PMT	PMT_403_1_1	Pisum	NA	0.5	18	1.2158	1.5	0.0155	1	-6e-04	1	0.0114	1	-0.0013	1	0.0091	1	-7e-04	0.5	0.0645	0.5	0.0196	0.0109
Gr40_PMT4	PMT	PMT_259_1_1	Cytisus	NA	0	19	1.0973	0	0.1065	1	1e-04	1.5	0.0097	1	0.0041	1	0.0074	1.5	0.0017	1	0.0058	1	0.0039	0.01
ApisSNMP9_ref|XP_001944867.1|_GENE ID: 100168460 LOC100168460	ApisSNMP	ApisSNMP_g9_1_16	Ononis	TRUE	1.5	20	1.0713	1	-3e-04	1	0.0018	1.25	-0.0027	0.25	0.0215	1	0.0012	1.5	0.0349	1.5	0.0342	1	0.0139	0.0109
OBP3_PMT1	PMT	PMT_17_1_1	Cytisus	NA	1.5	21	1.068	1.5	0.0616	1	9e-04	1	0.0121	1.5	0.0156	1	0.0016	1	0.0073	1	0.0175	0.75	0.0067	0.0095
Or28C	Or	Or_g21_4_1	Pisum	TRUE	0	22	0.9809	0	0.0069	1	8e-04	0	0.0114	0.5	1e-04	1	-9e-04	1.5	0.0296	0	0.0516	1.25	0.0045	0.009
repressor (LOC100169627)	Control	Control_g49_5_4	Pisum	TRUE	1.5	23	0.9665	1.5	0.0014	1.5	0.0015	1	0.0175	1.5	-8e-04	1	0.0187	1.5	0.0101	1.5	0.0434	1.5	0.0024	0.0131
Gr63P	Gr	Gr_g60_1_8	Lathyrus	TRUE	0	24	0.9208	1	0.0055	0	0.0689	1	0.0057	1	0.0067	1	0.0096	1	0.0065	1	0.0061	1	0.0052	0.0133
nadp transhydrogenase (LOC100162003)	Control	Control_g82_17_7	L.corn.	FALSE	0.5	25	0.9076	1	0.0077	0	0.014	0.5	0.0315	1	0.0086	1	0.013	1	0.0096	1	0.0097	1	0.008	0.013
Or76C	Or	Or_g74_5_1	Lathyrus	TRUE	0.5	26	0.8755	1	0.0039	0.5	0.0342	1	0.0056	1	0.0049	1	0.0029	1	0.0043	1.5	0.0176	1	-0.0027	0.0074
Gr55_PMT2	PMT	PMT_299_1_1	Cytisus	NA	1.5	27	0.8626	1.5	0.0497	1	1e-04	1	0.0065	1	-0.0013	1	-0.0015	1	0.0039	1	0.009	0	0.0192	0.0044
alpha-amylase (LOC100161946)	Control	Control_g188_4_2	Cytisus	TRUE	0	28	0.853	0	0.0802	1	4e-04	1	0.0017	1	-0.0017	1	0.0133	0.5	0.0081	1	0.0112	1	0.0055	0.0107
Gr47	Gr	Gr_g42_2_4	Lathyrus	TRUE	0	29	0.7716	1	0.0041	0	0.0706	1	0.0057	1	0.0027	1	0.0063	1	0.006	1	0.0055	1	0.0045	0.0116
P450_XM_001944148	P450	P450_g11_1_7	Lathyrus	TRUE	1.5	30	0.742	1	0.0037	1.5	0.0684	1	0.0063	1	0.0054	1	0.0058	1	0.0053	1	0.0062	1	0.0036	0.0117
Or11_PMT1	PMT	PMT_377_1_1	L.ped.	NA	2	31	0.7354	1	0.0037	1	2e-04	0.75	0.0025	2	0.0134	1	0.0022	1	0.0044	0.5	0.0051	0.25	0.0029	0.0043
Gr35_PMT2	PMT	PMT_236_1_1	Lathyrus	NA	0	32	0.7128	1	0.0046	0	0.0664	1	0.0057	1	0.0049	1	0.005	1	0.0051	1	0.0056	1	0.0021	0.0107
F57G4.9 (LOC100167537)	Control	Control_g132_1_1	Lathyrus	FALSE	2	33	0.7081	0.5	0.011	2	0.047	1	0.0031	1	0.0037	1	0.0036	1	0.0044	1	0.0061	1	0.0017	0.0083
Gr75P	Gr	Gr_g73_4_1	Lathyrus	TRUE	0	34	0.6977	1	0.0023	0	0.0643	1	0.0053	1	0.0051	1	0.0052	1	0.0051	1	0.0048	1	0.0032	0.0106
IR40a_5prime_500	PMT	PMT_642_1_10	Lathyrus	NA	0.5	35	0.6928	1	0.0036	0.5	0.0642	1	0.0056	1	0.0043	1	0.0052	1	0.005	1	0.0053	1	0.0035	0.0108
Orcok	Control	Control_g73_5_5	Lathyrus	TRUE	1.5	36	0.6856	1	0.0032	1.5	0.0637	1	0.0047	1	0.0051	1	0.0043	1	0.0049	1	0.0051	1	0.0042	0.0103
n-acetylglucosaminyltransferase vi (LOC100169612)	Control	Control_g86_4_1	Lathyrus	TRUE	1.5	37	0.6806	1	0.0036	1.5	0.0641	1	0.0046	1	0.0049	1	0.0049	1	0.0047	1	0.0044	1	0.0042	0.0104
P450_XM_001948520	P450	P450_g39_2_3	Pisum	FALSE	1.5	38	0.6795	1.5	0.0019	0	0.0094	1.5	0.0037	0.5	0.0075	1.5	0.0038	1	0.0049	1.5	0.0221	1	-0.0036	0.0059
Or58PC	Or	Or_g54_1_15	Lathyrus	TRUE	0	39	0.6559	1	0.0042	0	0.0611	1	0.0056	1	0.0046	1	0.0041	1	0.0046	1	0.0055	1	0.0038	0.0098
aldose-1-epimerase (LOC100166643)	Control	Control_g190_4_2	Trifolium	FALSE	1	40	0.6286	1	6e-04	0.5	6e-04	1.5	0.0033	1.5	0.0071	1	0.0046	1.5	0.0076	1.5	0.0091	1	0.0157	0.0056
IR75j	IR	IR_g8_1_12	L.ped.	FALSE	0.5	41	0.6089	1	0.0052	0.5	0	1	-0.0024	0.5	0.0223	1	0.0143	1	0.0052	1	0.0127	0.75	0.0046	0.0102
IR93a_5prime_500	PMT	PMT_649_1_1	Lathyrus	NA	0.5	42	0.5962	1	0.0041	0.5	0.0559	1	0.0037	1	0.0045	1	0.0043	1	0.004	1	0.0038	1	0.0031	0.009
